1,9949999,9950172,9949999,9949999,9949825,9949999,9949999,18029,18029,18034,18029,18029,18024,18029,0,0,0,2449,0,0,-2449,9949499,18029,0,
2,9949997,9950195,9949997,9949997,9949800,9949997,9949997,23056,23056,23061,23056,23056,23051,23056,-53,-53,-53,2738,-53,-53,-2846,9950497,23056,-1053,
3,9949995,9950200,9949995,9949995,9949791,9949995,9949995,24458,24458,24463,24458,24458,24453,24458,-107,-107,-107,2780,-107,-107,-2995,9950495,24458,-607,
4,9949994,9950200,9949994,9949994,9949788,9949994,9949994,24848,24848,24853,24848,24848,24844,24848,-161,-161,-161,2754,-161,-161,-3076,9949994,25348,-161,
5,9949992,9950199,9949992,9949992,9949785,9949992,9949992,24957,24957,24962,24957,24957,24952,24957,-214,-214,-214,2709,-214,-214,-3138,9949992,24957,-714,
6,9949990,9950197,9949990,9949990,9949783,9949990,9949990,24988,24988,24993,24988,24988,24983,24988,-268,-268,-268,2658,-268,-268,-3194,9949990,24988,-268,
7,9949989,9950196,9949989,9949989,9949782,9949989,9949989,24996,24996,25001,24996,24996,24991,24996,-321,-321,-321,2606,-321,-321,-3248,9949989,24996,-321,
8,9949987,9950194,9949987,9949987,9949780,9949987,9949987,24999,24999,25003,24999,24999,24994,24999,-374,-374,-374,2553,-375,-374,-3302,9949987,24499,-1374,
9,9949985,9950192,9949985,9949985,9949778,9949985,9949985,24999,24999,25004,24999,24999,24994,24999,-428,-428,-428,2499,-428,-428,-3355,9949985,24999,-428,
10,9949983,9950190,9949983,9949983,9949776,9949983,9949983,24999,24999,25004,24999,24999,24995,24999,-481,-481,-481,2446,-481,-481,-3408,9949983,25499,-481,
11,9949982,9950189,9949982,9949982,9949775,9949982,9949982,24999,24999,25004,24999,24999,24995,24999,-535,-535,-535,2392,-535,-535,-3462,9949982,25499,-535,
12,9949969,9950176,9949969,9949969,9949762,9949969,9949969,24999,24999,25004,24999,24999,24995,24999,-555,-555,-555,2372,-556,-555,-3483,9949969,25499,-1555,
13,9949967,9950174,9949967,9949967,9949760,9949967,9949967,25000,25000,25004,25000,25000,24995,25000,-608,-608,-608,2319,-608,-608,-3535,9949967,24500,-608,
14,9949375,9949582,9949375,9949375,9949168,9949375,9949375,11618030,11618030,11618035,11618030,11618030,11618025,11618030,-36456,-36456,-36456,-33539,-36456,-36456,-39373,9949375,11618030,-36456,
15,9948798,9949005,9948798,9948798,9948591,9948798,9948798,14814295,14814295,14814300,14814295,14814295,14814290,14814295,-72102,-72102,-72102,-69188,-72102,-72102,-75016,9948798,14814295,-72102,
16,9948226,9948433,9948226,9948226,9948019,9948226,9948226,15669406,15669406,15669411,15669406,15669406,15669401,15669406,-107519,-107519,-107519,-104606,-107519,-107519,-110433,9948226,15669406,-108019,
