0,0,0,0,0,0,66208,4138000
0,0,0,0,0,0,66208,4138000
0,0,0,0,0,0,66208,4138000
0,0,0,0,0,0,66208,4138000
0,0,0,0,0,0,66208,4138000
0,0,0,0,0,0,66208,4138000
0,0,0,0,0,0,66208,4138000
0,0,0,0,0,0,66208,4138000
0,0,0,0,0,0,66208,4138000
0,0,0,0,0,0,66208,4138000
0,0,0,0,0,0,65744,4138000
0,0,0,0,0,0,66192,4138000
0,0,0,0,0,0,65632,4138000
994936,0,0,1526939,-297,-327799,65600,4007411
994990,743145,-4505,460979,5,-106619,65584,3987005
994939,1140942,-8958,141600,235,-41018,65568,3975938
994805,1352729,-13371,45711,29,-20827,65568,3968534
994689,1466906,-17759,16856,-9,-14575,65552,3965601
994621,1525264,-22106,8011,484,-12595,65536,3963465
994501,1556593,-26437,5432,-1162,-12129,65536,3963356
994570,1571758,-30737,4787,-817,-11987,65520,3962881
994507,1577946,-35010,4021,57,-11808,65520,3963371
994258,1579831,-39260,4411,712,-11775,65504,3963161
994377,1582426,-43492,2916,-776,-11797,65504,3964124
994324,1582014,-47690,3795,51,-11794,65488,3963676
994255,1581246,-51887,3902,411,-11839,65488,3963596
994194,1578502,-56041,3936,-726,-11793,65488,3964658
994012,1578056,-60174,4503,-510,-11842,65472,3964878
993901,1576407,-64314,4030,651,-11708,65472,3964416
993835,1574663,-68400,3979,144,-11778,65456,3963846
993829,1573852,-72477,4320,1180,-11808,65456,3963451
993785,1571880,-76537,3906,405,-11762,65456,3965338
993725,1569963,-80556,3967,0,-11785,65440,3965363
993710,1567266,-84539,3940,295,-11801,65440,3965365
993900,1567303,-88520,3910,35,-11789,65440,3966391
993843,1566267,-92491,3671,-34,-11791,65424,3967055
994129,1566985,-96446,2623,-412,-11791,65424,3968085
994150,1566060,-100379,3535,-251,-11790,65424,3968304
994313,1563232,-104288,4093,-152,-11806,65408,3968981
994253,1561544,-108176,3725,323,-11773,65408,3969702
994148,1561037,-112062,3937,-170,-11763,65408,3969706
994004,1559181,-115880,3680,-605,-11663,65392,3968058
994204,1560628,-119725,3755,-50,-11777,65392,3969946
994130,1560429,-123523,3710,690,-11697,65392,3969716
993886,1558161,-127306,2669,1928,-11774,65392,3968514
993951,1556699,-131085,4387,142,-11799,65376,3969302
993898,1556632,-134835,3936,-1131,-11749,65376,3969696
993832,1557186,-138569,3972,724,-11743,65376,3969968
993767,1554932,-142286,3886,577,-11830,65360,3971670
993783,1553689,-145980,4069,-222,-11775,65360,3970754
993713,1553480,-149656,4024,-1402,-11831,65360,3971731
