0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
606,1857,605,535,-644,607,678
-642,45,-643,-684,-1330,-642,-601
-1121,-738,-1121,-1149,-1504,-1121,-1094
-143,78,-144,-164,-365,-143,-122
-169,-27,-169,-188,-310,-169,-149
243,348,242,225,137,243,262
-523,-431,-523,-541,-615,-523,-505
399,485,398,380,311,399,417
-20,66,-20,-38,-106,-19,-1
-637,-552,-637,-655,-720,-637,-618
-815,-732,-815,-833,-898,-815,-797
-65,19,-66,-83,-151,-65,-47
478,564,478,460,392,478,496
-651,-565,-651,-669,-737,-651,-633
-1001,-916,-1001,-1019,-1086,-1000,-983
-399,-313,-399,-417,-485,-399,-381
258,344,258,240,172,258,277
1113,1199,1113,1095,1028,1113,1132
-401,-315,-401,-419,-487,-401,-383
-113,-27,-113,-131,-199,-113,-95
-44,42,-44,-62,-129,-43,-25
14,95,14,-4,-67,14,32
-766,-681,-766,-784,-850,-766,-747
-416,-339,-416,-435,-493,-416,-398
118,201,118,100,35,118,136
310,392,310,292,228,310,328
-317,-232,-318,-335,-402,-317,-299
-210,-124,-210,-228,-295,-210,-191
842,928,842,824,756,842,860
17,98,17,0,-63,17,36
654,738,653,636,569,654,672
1345,1429,1345,1327,1261,1345,1363
848,932,848,830,764,848,866
512,598,511,494,426,512,530
645,730,644,627,558,645,663
-974,-887,-974,-992,-1060,-974,-956
261,347,261,243,175,261,279
-714,-628,-714,-732,-801,-714,-696
-31,50,-31,-50,-114,-31,-13
252,337,252,234,167,252,270
832,916,832,814,749,832,850
3,89,3,-14,-81,3,21
-272,-186,-272,-290,-358,-272,-254
-544,-458,-544,-562,-629,-544,-525
-82,3,-82,-100,-168,-82,-64
-69,17,-69,-87,-154,-69,-51
467,552,467,449,383,468,485
409,494,409,391,324,410,427
-426,-340,-426,-444,-513,-426,-408
-36,49,-36,-54,-123,-36,-18
537,623,536,519,451,537,555
1303,1389,1302,1285,1217,1304,1321
211,296,210,193,125,211,229
426,512,426,408,340,426,444
-1088,-1003,-1088,-1106,-1173,-1088,-1070
-549,-463,-549,-567,-634,-549,-531
-744,-658,-744,-762,-830,-744,-726
520,606,520,502,434,520,538
821,907,821,803,735,821,839
299,384,299,281,214,299,317
468,554,468,450,382,468,486
-32,52,-32,-51,-118,-32,-14
-86,-2,-86,-104,-169,-86,-68
811,896,811,792,725,811,829
154,240,154,136,69,155,173
717,801,717,699,632,717,735
-813,-730,-814,-831,-897,-813,-795
-462,-377,-462,-480,-547,-462,-444
142,227,142,123,57,142,160
142,227,142,123,57,142,160
-1174,-1091,-1175,-1193,-1256,-1174,-1156
1206,1290,1206,1188,1121,1206,1224
-358,-272,-358,-376,-444,-357,-340
204,289,204,186,119,205,222
-483,-399,-483,-501,-567,-483,-465
-606,-522,-606,-624,-689,-605,-588
678,763,678,660,593,678,696
-368,-283,-368,-386,-454,-368,-350
-462,-377,-462,-480,-547,-461,-444
-294,-208,-294,-312,-380,-293,-276
515,600,515,497,429,515,533
-388,-302,-388,-406,-474,-388,-370
-615,-531,-615,-633,-699,-615,-597
96,180,96,77,12,96,114
202,285,202,184,118,202,220
366,447,365,348,284,366,384
-210,-127,-210,-228,-293,-210,-191
307,391,307,289,222,307,325
543,629,543,525,458,544,561
-90,-5,-90,-108,-176,-90,-72
-516,-433,-516,-534,-600,-516,-498
-633,-547,-633,-651,-718,-632,-614
-392,-306,-392,-410,-477,-391,-374
108,191,108,89,23,108,126
-520,-443,-520,-538,-597,-519,-502
-470,-388,-471,-488,-552,-470,-452
-192,-109,-193,-211,-276,-192,-174
744,827,744,725,660,744,762
-499,-414,-499,-518,-585,-499,-481
-7,78,-7,-25,-93,-6,10
-142,-56,-143,-160,-229,-142,-124
-259,-173,-258,-277,-344,-260,-241
-563,-478,-563,-581,-648,-563,-545
658,743,658,640,572,658,676
-46,39,-47,-65,-133,-46,-28
-426,-339,-426,-444,-512,-426,-408
-48,37,-48,-66,-135,-48,-30
580,665,579,561,494,580,598
-725,-638,-725,-743,-810,-724,-706
234,319,234,216,149,235,252
906,991,905,888,820,906,924
-856,-771,-856,-874,-941,-856,-838
54,140,54,36,-31,54,72
312,396,312,293,227,312,330
618,702,618,600,535,618,636
-1316,-1232,-1315,-1334,-1399,-1315,-1298
129,209,128,111,48,129,147
-596,-511,-596,-614,-681,-596,-578
-157,-71,-157,-175,-243,-157,-139
184,270,184,166,98,185,202
131,214,131,113,48,131,149
346,429,346,328,264,347,365
1183,1268,1182,1164,1098,1183,1201
-358,-275,-358,-376,-441,-358,-340
-530,-444,-530,-548,-615,-529,-511
-633,-548,-633,-651,-717,-632,-614
-45,39,-46,-63,-131,-45,-27
-699,-612,-699,-717,-785,-698,-681
701,788,701,683,615,702,720
449,534,449,431,364,449,467
588,674,588,570,503,588,607
-614,-531,-613,-632,-696,-614,-596
628,713,627,610,543,627,646
-956,-870,-956,-974,-1042,-956,-938
44,130,44,26,-41,44,62
-308,-221,-308,-326,-394,-308,-290
-51,34,-51,-69,-137,-51,-33
5,91,6,-12,-80,6,23
594,680,593,576,507,594,612
707,790,707,689,625,708,725
707,790,707,689,625,708,725
330,411,330,312,248,330,348
-442,-358,-442,-460,-526,-442,-424
156,240,156,138,72,156,174
-466,-383,-466,-484,-548,-466,-448
468,554,468,450,384,468,487
-173,-86,-173,-191,-258,-173,-154
-185,-99,-185,-203,-271,-185,-167
451,537,451,433,365,452,469
-709,-622,-708,-727,-794,-708,-690
-702,-616,-702,-720,-789,-702,-684
-51,34,-51,-69,-137,-51,-33
217,300,217,199,133,217,235
-500,-416,-500,-518,-585,-500,-482
338,424,339,320,252,339,356
-108,-22,-107,-126,-193,-109,-90
-144,-61,-144,-163,-228,-144,-126
413,499,412,395,327,413,431
87,174,88,69,1,87,105
257,342,256,238,171,257,275
807,893,807,789,721,808,825
455,541,455,437,368,454,473
-722,-638,-722,-741,-807,-722,-704
413,498,413,395,329,414,432
-58,26,-58,-76,-144,-58,-40
97,183,97,79,12,98,115
269,355,269,251,184,270,288
-628,-542,-629,-647,-715,-628,-610
-889,-805,-889,-907,-974,-888,-871
544,630,544,526,458,544,562
229,315,228,211,143,229,247
-267,-180,-267,-285,-353,-267,-248
623,709,622,605,536,623,641
91,177,91,73,5,91,109
648,735,648,630,561,648,666
-923,-836,-923,-941,-1009,-922,-905
-1344,-1257,-1344,-1362,-1430,-1343,-1326
-691,-604,-691,-709,-778,-691,-673
254,337,254,236,170,254,272
-52,32,-51,-70,-137,-52,-34
-675,-589,-675,-693,-761,-675,-657
745,831,745,727,658,744,763
1047,1133,1047,1029,960,1047,1065
-811,-724,-811,-829,-898,-811,-792
-595,-510,-595,-613,-679,-594,-576
-284,-202,-285,-302,-367,-283,-266
734,817,734,716,650,734,752
1204,1284,1204,1186,1123,1204,1222
-255,-170,-255,-273,-339,-254,-236
-916,-830,-916,-935,-1002,-916,-898
-755,-673,-755,-773,-837,-755,-737
