995000,0,0,1000000,0,0,0,99999,0,0,0,14100000
995000,0,0,1000000,0,0,0,99999,0,0,0,14100000
995000,0,0,1000000,0,0,0,99999,0,0,0,14100000
995000,0,0,1000000,0,0,0,99999,0,0,0,14100000
995000,0,0,1000000,0,0,0,99999,0,0,0,14100000
995000,0,0,1000000,0,0,0,99999,0,0,0,14100000
995000,0,0,1000000,0,0,0,99999,0,0,0,14100000
995000,0,0,1000000,0,0,0,99999,0,0,0,14100000
995000,0,0,1000000,0,0,0,99999,0,0,0,14100000
995000,0,0,1000000,0,0,0,99999,0,0,0,14100000
995000,0,0,1000000,0,0,0,99999,0,0,0,14100000
995000,0,0,1000000,0,0,0,99999,0,0,0,14100000
995000,0,0,1000000,0,0,0,99999,0,0,0,14100000
995080,0,-31,299957,0,224,0,8706,0,224,0,4429955
995041,743145,-4516,90898,0,89,0,766,0,89,0,1517116
994956,1140941,-8963,28260,-2,29,-2,73,0,29,0,651083
994810,1352728,-13373,9466,-21,8,-21,-17,0,8,0,393593
994691,1466905,-17761,3834,4,2,4,7,0,2,0,317030
994622,1525263,-22108,2150,-1,0,-1,-380,-1,0,-1,294268
994502,1556592,-26438,1639,28,0,28,-130,1,0,1,287501
994570,1571758,-30738,1452,76,-1,76,-108,3,-1,3,285489
994507,1577945,-35011,1435,10,0,10,17,0,0,0,284894
994258,1579831,-39261,1366,-86,-2,-86,-108,-3,-2,-3,284718
994377,1582425,-43493,1326,-76,0,-76,-16,0,0,0,284665
994324,1582014,-47691,1395,21,0,21,-598,12,0,12,284649
994255,1581246,-51888,1419,9,0,9,28,7,0,7,284646
994194,1578501,-56042,1425,-3,0,-3,-75,1,0,1,284647
994012,1578056,-60175,1403,21,2,21,9,-1,2,-1,284647
993901,1576407,-64315,1417,-17,-2,-17,-131,-17,-2,-17,284644
993835,1574662,-68401,1425,-3,0,-3,7,-4,0,-4,284647
993829,1573851,-72478,1419,-27,0,-27,-81,0,0,0,284649
993785,1571880,-76538,1423,5,0,5,-58,-4,0,-4,284650
993725,1569962,-80557,1425,-4,0,-4,-19,-1,0,-1,284651
993710,1567266,-84540,1421,54,-2,54,-511,18,-2,18,284654
993900,1567302,-88521,1275,32,-4,32,53,3,-4,3,284655
993843,1566267,-92492,1381,3,-1,3,13,0,-1,0,284653
994129,1566985,-96447,1139,-131,0,-131,-51,0,0,0,284653
994150,1566060,-100380,1324,-8,0,-8,15,0,0,0,284653
994313,1563232,-104289,1303,39,4,39,2,-1,4,-1,284657
994253,1561544,-108177,1389,14,1,14,-66,0,1,0,284658
994148,1561037,-112062,1416,10,0,10,-68,9,0,9,284656
994004,1559181,-115881,1414,-22,4,-22,-30,13,4,13,284658
994204,1560627,-119726,1262,43,3,43,-1,1,3,1,284657
994130,1560428,-123524,1378,5,0,5,-38,-7,0,-7,284657
993885,1558161,-127307,1352,105,0,105,-156,-2,0,-2,284662
993951,1556698,-131086,1369,17,1,17,25,0,1,0,284666
993898,1556631,-134836,1410,17,0,17,-317,10,0,10,284661
993832,1557186,-138570,1422,2,0,2,-27,-2,0,-2,284657
993767,1554931,-142286,1426,3,0,3,-15,1,0,1,284662
993783,1553689,-145980,1413,38,-1,38,-60,4,-1,4,284661
993713,1553480,-149657,1424,16,0,16,-296,-7,0,-7,284657
993397,1553304,-153317,1306,182,8,182,-216,-12,8,-12,284661
993399,1551683,-156966,1381,42,2,42,14,-2,2,-2,284662
993526,1552277,-160636,1326,-73,13,-73,-57,11,13,11,284660
993472,1550253,-164295,1396,-25,7,-25,-71,24,7,24,284656
993349,1550955,-167943,1410,-48,-4,-48,-208,-33,-4,-33,284658
993332,1549031,-171486,1417,29,-6,29,-227,28,-6,28,284659
993293,1549813,-175037,1423,-19,-3,-19,-275,-18,-3,-18,284661
993177,1547489,-178620,1424,-9,-4,-9,13,-12,-4,-12,284658
993293,1548109,-182181,1359,-262,7,-262,-964,31,7,31,284664
993273,1546051,-185754,1403,28,9,28,-893,-90,9,-90,284661
993172,1546534,-189252,1418,-7,3,-7,18,-12,3,-12,284669
993109,1544682,-192739,1425,-2,1,-2,8,0,1,0,284668
993105,1546783,-196216,1419,41,0,41,-196,4,0,4,284666
992989,1545581,-199646,1420,-32,1,-32,-305,19,1,19,284669
992796,1545782,-203118,1388,131,-11,131,-460,48,-11,48,284662
992671,1546565,-206585,1407,22,-10,22,53,9,-10,9,284658
992740,1546018,-210005,1375,-49,0,-49,-47,5,0,5,284666
992734,1544170,-213375,1405,27,-2,27,-139,11,-2,11,284670
992620,1544584,-216764,1414,11,-1,11,16,3,-1,3,284666
992436,1544838,-220169,1404,-5,-8,-5,26,-1,-8,-1,284667
992383,1543491,-223490,1422,1,-2,1,-163,11,-2,11,284670
992441,1543104,-226807,1386,-27,-4,-27,5,0,-4,0,284670
992445,1542855,-230142,1404,-8,0,-8,8,0,0,0,284670
992309,1543801,-233519,1408,-8,-11,-8,6,-6,-11,-6,284659
992443,1543114,-236801,1340,57,-4,57,-24,0,-4,0,284668
992362,1543958,-240090,1401,7,-1,7,7,-1,-1,-1,284670
992322,1544425,-243339,1418,7,-1,7,5,2,-1,2,284666
992435,1543595,-246623,1358,-8,15,-8,10,3,15,3,284667
992179,1544635,-249863,1337,178,3,178,-436,4,3,4,284666
992173,1540822,-253083,1392,109,5,109,-736,-40,5,-40,284664
991995,1540688,-256224,1394,72,17,72,-45,-42,17,-42,284657
991995,1540688,-256224,1394,72,17,72,-45,-42,17,-42,284657
991693,1540026,-259436,1309,-177,-11,-177,-304,-34,-11,-34,284666
991746,1540028,-262574,1355,-18,-14,-18,43,-2,-14,-2,284664
991691,1539896,-265655,1407,-2,-4,-2,-14,19,-4,19,284652
991766,1539337,-268886,1381,-166,29,-166,-653,125,29,125,284651
991511,1538614,-271970,1356,16,22,16,38,9,22,9,284661
991270,1537792,-275121,1337,-153,-10,-153,-323,-36,-10,-36,284662
991141,1537550,-278211,1393,-44,0,-44,-7,0,0,0,284666
990979,1537526,-281238,1400,-1,12,-1,11,-3,12,-3,284657
991037,1537501,-284333,1387,10,7,10,9,-2,7,-2,284666
990978,1537659,-287356,1417,4,2,4,-39,-14,2,-14,284662
991018,1537557,-290388,1401,6,-3,6,12,-1,-3,-1,284667
990962,1537664,-293404,1420,0,-1,0,-24,-7,-1,-7,284665
990722,1537581,-296471,1357,-2,-15,-2,11,-1,-15,-1,284664
990796,1536222,-299479,1357,34,-2,34,-5,-1,-2,-1,284666
990906,1535786,-302461,1332,-44,-8,-44,-22,-5,-8,-5,284674
990600,1534878,-305455,1273,-310,-10,-310,-711,-20,-10,-20,284683
990369,1536114,-308510,1330,-32,-31,-32,79,6,-31,6,284660
990418,1535630,-311431,1370,-11,-18,-11,15,-1,-18,-1,284672
990347,1535034,-314357,1410,-2,-4,-2,-247,22,-4,22,284682
990165,1535285,-317244,1397,66,12,66,-142,-32,12,-32,284677
990307,1536170,-320143,1342,64,0,64,-14,-1,0,-1,284677
990222,1535755,-323002,1402,9,0,9,-19,-10,0,-10,284680
990233,1535143,-325936,1407,57,5,57,-221,-29,5,-29,284674
989981,1533779,-328824,1356,-76,-6,-76,-63,-14,-6,-14,284683
989553,1535282,-331726,1127,-236,-16,-236,-152,-16,-16,-16,284684
989621,1534963,-334609,1292,25,6,25,-60,-19,6,-19,284681
989383,1533596,-337443,1320,-91,0,-91,-118,-5,0,-5,284676
989129,1531924,-340213,1327,-18,17,-18,21,0,17,0,284679
989065,1531993,-342947,1398,0,4,0,-112,40,4,40,284662
989064,1531358,-345817,1406,-47,14,-47,-143,53,14,53,284656
989019,1531740,-348586,1419,9,3,9,-88,16,3,16,284663
988829,1531100,-351212,1395,26,39,26,3,-32,39,-32,284625
988640,1530595,-353939,1383,-9,27,-9,11,-2,27,-2,284658
988708,1530193,-356692,1378,40,5,40,-36,1,5,1,284675
988655,1529738,-359395,1412,22,0,22,-429,32,0,32,284681
988583,1529935,-362070,1423,6,2,6,7,-10,2,-10,284672
988590,1529941,-364797,1416,3,0,3,9,-1,0,-1,284680
988388,1529660,-367436,1389,-82,16,-82,-179,39,16,39,284675
988343,1529952,-370197,1414,-21,9,-21,5,19,9,19,284661
988395,1529649,-372905,1387,99,14,99,-277,-28,14,-28,284666
988415,1529836,-375479,1406,17,-13,17,37,-4,-13,-4,284650
988479,1530094,-378141,1378,-65,3,-65,-96,10,3,10,284674
988412,1529896,-380708,1413,-10,0,-10,26,16,0,16,284667
988536,1529766,-383417,1361,96,26,96,-114,-36,26,-36,284667
988276,1528710,-385989,1335,22,25,22,22,-7,25,-7,284674
988406,1529680,-388480,1322,-157,-46,-157,-314,-110,-46,-110,284648
988037,1528591,-391085,1215,-147,0,-147,-12,-16,0,-16,284670
987978,1527938,-393661,1365,-24,0,-24,-65,4,0,4,284676
987858,1527760,-396196,1407,-3,4,-3,17,0,4,0,284678
987680,1526283,-398808,1404,-39,-10,-39,-70,-23,-10,-23,284676
987372,1526673,-401438,1292,-136,-49,-136,-104,-49,-49,-49,284660
987107,1526903,-403899,1299,-74,28,-74,-6,18,28,18,284653
986984,1527428,-406417,1381,18,8,18,-83,4,8,4,284678
