1000000,0,0,0,99999,0,0,0,14100000,0,0,0,0
1000000,0,0,0,99999,0,0,0,14100000,0,0,0,0
1000000,0,0,0,99999,0,0,0,14100000,0,0,0,0
1000000,0,0,0,99999,0,0,0,14100000,0,0,0,0
1000000,0,0,0,99999,0,0,0,14100000,0,0,0,0
1000000,0,0,0,99999,0,0,0,14100000,0,0,0,0
1000000,0,0,0,99999,0,0,0,14100000,0,0,0,0
1000000,0,0,0,99999,0,0,0,14100000,0,0,0,0
1000000,0,0,0,99999,0,0,0,14100000,0,0,0,0
1000000,0,0,0,99999,0,0,0,14100000,0,0,0,0
1000000,0,0,0,99999,0,0,0,14100000,0,0,0,0
1000000,0,0,0,99999,0,0,0,14100000,0,0,0,0
1000000,0,0,0,99999,0,0,0,14100000,0,0,0,0
299957,0,224,0,8706,0,224,0,4429955,1526939,-297,-327799,448769
90898,0,89,0,766,0,89,0,1517116,460979,5,-106619,447674
28260,-2,29,-2,73,0,29,0,651083,141600,235,-41018,447345
9466,-21,8,-21,-17,0,8,0,393593,45711,29,-20827,447249
3834,4,2,4,7,0,2,0,317030,16856,-9,-14575,447220
2150,-1,0,-1,-380,-1,0,-1,294268,8011,484,-12595,447211
1639,28,0,28,-130,1,0,1,287501,5432,-1162,-12129,447207
1452,76,-1,76,-108,3,-1,3,285489,4787,-817,-11987,447207
1435,10,0,10,17,0,0,0,284894,4021,57,-11808,447207
1366,-86,-2,-86,-108,-3,-2,-3,284718,4411,712,-11775,447206
1326,-76,0,-76,-16,0,0,0,284665,2916,-776,-11797,447205
1395,21,0,21,-598,12,0,12,284649,3795,51,-11794,447207
1419,9,0,9,28,7,0,7,284646,3902,411,-11839,447207
1425,-3,0,-3,-75,1,0,1,284647,3936,-726,-11793,447206
1403,21,2,21,9,-1,2,-1,284647,4503,-510,-11842,447205
1417,-17,-2,-17,-131,-17,-2,-17,284644,4030,651,-11708,447207
1425,-3,0,-3,7,-4,0,-4,284647,3979,144,-11778,447207
1419,-27,0,-27,-81,0,0,0,284649,4320,1180,-11808,447204
1423,5,0,5,-58,-4,0,-4,284650,3906,405,-11762,447207
1425,-4,0,-4,-19,-1,0,-1,284651,3967,0,-11785,447207
1421,54,-2,54,-511,18,-2,18,284654,3940,295,-11801,447207
1275,32,-4,32,53,3,-4,3,284655,3910,35,-11789,447206
1381,3,-1,3,13,0,-1,0,284653,3671,-34,-11791,447206
1139,-131,0,-131,-51,0,0,0,284653,2623,-412,-11791,447205
1324,-8,0,-8,15,0,0,0,284653,3535,-251,-11790,447207
1303,39,4,39,2,-1,4,-1,284657,4093,-152,-11806,447206
1389,14,1,14,-66,0,1,0,284658,3725,323,-11773,447207
1416,10,0,10,-68,9,0,9,284656,3937,-170,-11763,447207
1414,-22,4,-22,-30,13,4,13,284658,3680,-605,-11663,447206
1262,43,3,43,-1,1,3,1,284657,3755,-50,-11777,447206
1378,5,0,5,-38,-7,0,-7,284657,3710,690,-11697,447205
1352,105,0,105,-156,-2,0,-2,284662,2669,1928,-11774,447203
1369,17,1,17,25,0,1,0,284666,4387,142,-11799,447205
1410,17,0,17,-317,10,0,10,284661,3936,-1131,-11749,447206
1422,2,0,2,-27,-2,0,-2,284657,3972,724,-11743,447206
1426,3,0,3,-15,1,0,1,284662,3886,577,-11830,447205
1413,38,-1,38,-60,4,-1,4,284661,4069,-222,-11775,447207
1424,16,0,16,-296,-7,0,-7,284657,4024,-1402,-11831,447206
1306,182,8,182,-216,-12,8,-12,284661,3981,-180,-11798,447207
1381,42,2,42,14,-2,2,-2,284662,3787,213,-11766,447207
1326,-73,13,-73,-57,11,13,11,284660,4686,868,-11913,447205
1396,-25,7,-25,-71,24,7,24,284656,3805,-121,-11750,447207
1410,-48,-4,-48,-208,-33,-4,-33,284658,4031,564,-11678,447207
1417,29,-6,29,-227,28,-6,28,284659,3847,615,-11898,447207
1423,-19,-3,-19,-275,-18,-3,-18,284661,3925,-459,-11838,447207
1424,-9,-4,-9,13,-12,-4,-12,284658,3984,11,-11785,447207
1359,-262,7,-262,-964,31,7,31,284664,4192,1132,-11831,447207
1403,28,9,28,-893,-90,9,-90,284661,3921,-1375,-11861,447207
1418,-7,3,-7,18,-12,3,-12,284669,4008,395,-11772,447207
1425,-2,1,-2,8,0,1,0,284668,3979,-22,-11779,447207
1419,41,0,41,-196,4,0,4,284666,4199,-1165,-11768,447206
1420,-32,1,-32,-305,19,1,19,284669,3584,-3137,-11457,447201
1388,131,-11,131,-460,48,-11,48,284662,3734,659,-11847,447207
1407,22,-10,22,53,9,-10,9,284658,3712,216,-11958,447206
1375,-49,0,-49,-47,5,0,5,284666,2992,-1000,-11747,447204
1405,27,-2,27,-139,11,-2,11,284670,3733,616,-11833,447207
1414,11,-1,11,16,3,-1,3,284666,4178,-191,-11750,447205
1404,-5,-8,-5,26,-1,-8,-1,284667,3648,-5,-11913,447206
1422,1,-2,1,-163,11,-2,11,284670,3972,-1380,-11718,447205
1386,-27,-4,-27,5,0,-4,0,284670,4110,134,-11779,447207
1404,-8,0,-8,8,0,0,0,284670,4093,45,-11837,447207
1408,-8,-11,-8,6,-6,-11,-6,284659,3952,-4,-11777,447207
1340,57,-4,57,-24,0,-4,0,284668,3758,45,-11822,447207
1401,7,-1,7,7,-1,-1,-1,284670,3732,-112,-11867,447206
1418,7,-1,7,5,2,-1,2,284666,3939,-53,-11795,447207
1358,-8,15,-8,10,3,15,3,284667,4562,146,-11950,447206
1337,178,3,178,-436,4,3,4,284666,4453,-1775,-11732,447205
1392,109,5,109,-736,-40,5,-40,284664,3635,1867,-11697,447206
1394,72,17,72,-45,-42,17,-42,284657,3938,68,-11791,447207
1394,72,17,72,-45,-42,17,-42,284657,3938,68,-11791,447207
1309,-177,-11,-177,-304,-34,-11,-34,284666,5244,2584,-11524,447203
1355,-18,-14,-18,43,-2,-14,-2,284664,4532,-518,-11585,447203
1407,-2,-4,-2,-14,19,-4,19,284652,3862,166,-11964,447207
1381,-166,29,-166,-653,125,29,125,284651,3957,223,-11854,447207
1356,16,22,16,38,9,22,9,284661,4288,-588,-11818,447206
1337,-153,-10,-153,-323,-36,-10,-36,284662,4272,1178,-11600,447206
1393,-44,0,-44,-7,0,0,0,284666,3661,-685,-11751,447206
1400,-1,12,-1,11,-3,12,-3,284657,4017,-116,-11867,447207
1387,10,7,10,9,-2,7,-2,284666,3639,86,-11723,447207
1417,4,2,4,-39,-14,2,-14,284662,3925,-354,-11862,447207
1401,6,-3,6,12,-1,-3,-1,284667,4187,-64,-11731,447207
1420,0,-1,0,-24,-7,-1,-7,284665,3917,-281,-11855,447207
1357,-2,-15,-2,11,-1,-15,-1,284664,4491,24,-11662,447206
