0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
994936,995236,994936,994936,994635,994936,994936,0,0,51,0,0,-51,0,0,0,0,1152,0,0,-1152
994989,995154,994989,994989,994824,994989,994989,743145,743145,743160,743145,743145,743130,743145,-4504,-4504,-4504,-3830,-4504,-4504,-5179
994938,995030,994938,994938,994846,994938,994938,1140941,1140941,1140946,1140941,1140941,1140936,1140941,-8958,-8958,-8958,-8516,-8958,-8958,-9400
994804,994857,994804,994804,994751,994804,994804,1352728,1352728,1352731,1352728,1352728,1352726,1352728,-13371,-13371,-13371,-13027,-13371,-13370,-13714
994688,994722,994688,994688,994655,994688,994688,1466905,1466905,1466907,1466905,1466905,1466904,1466905,-17759,-17759,-17759,-17450,-17759,-17759,-18067
994621,994646,994621,994621,994595,994621,994621,1525263,1525263,1525274,1525263,1525263,1525253,1525263,-22106,-22106,-22106,-21809,-22106,-22106,-22403
994501,994523,994501,994501,994479,994501,994501,1556592,1556593,1556599,1556592,1556592,1556586,1556592,-26437,-26437,-26437,-26143,-26437,-26437,-26731
994570,994590,994570,994570,994549,994570,994570,1571758,1571759,1571764,1571758,1571757,1571752,1571758,-30737,-30737,-30736,-30444,-30736,-30737,-31029
994506,994527,994506,994506,994486,994506,994506,1577945,1577945,1577947,1577945,1577945,1577943,1577945,-35010,-35010,-35009,-34717,-35010,-35010,-35302
994257,994278,994257,994257,994237,994257,994257,1579831,1579829,1579836,1579831,1579832,1579825,1579831,-39260,-39260,-39260,-38967,-39260,-39259,-39552
994376,994396,994376,994376,994356,994376,994376,1582425,1582424,1582428,1582425,1582426,1582423,1582425,-43492,-43492,-43492,-43200,-43492,-43492,-43784
994323,994344,994323,994323,994303,994323,994323,1582014,1582014,1582027,1582014,1582013,1582000,1582014,-47689,-47689,-47689,-47397,-47689,-47689,-47981
