test_circle,input 1,input 2,input 3,input 4,input 5,input 6,input 7,input 8,input 9,input 10,input 11,input 12,input 13,input 14,input 15,input 16,input 17,input 18,input 19,input 20,input 21,summation 1, summation 2, summation 3,result 1, result 2, result 3
280,9799663,9799870,9799663,9799663,9799456,9799663,9799663,15080514,15080514,15080519,15080514,15080514,15080509,15080514,-5995443,-5995443,-5995443,-5992529,-5995443,-5995443,-5998357,9799663,15080514,-5995443,0.979966282845,1.508051395416,-0.599544286728,
281,9799101,9799308,9799101,9799101,9798894,9799101,9799101,15076537,15076537,15076542,15076537,15076537,15076532,15076537,-6008850,-6008850,-6008850,-6005937,-6008850,-6008850,-6011764,9799101,15076537,-6009350,0.979910075665,1.507653713226,-0.600934982300,
282,9798539,9798746,9798539,9798539,9798332,9798539,9798539,15093458,15093458,15093463,15093458,15093458,15093453,15093458,-6022235,-6022235,-6022235,-6019321,-6022235,-6022235,-6025149,9798539,15093458,-6022235,0.979853928089,1.509345769882,-0.602223515511,
283,9797977,9798184,9797977,9797977,9797770,9797977,9797977,15098176,15098176,15098180,15098176,15098176,15098171,15098176,-6035575,-6035575,-6035575,-6032661,-6035575,-6035575,-6038488,9797977,15097676,-6035075,0.979797720909,1.509767651558,-0.603507518768,
284,9797416,9797623,9797416,9797416,9797209,9797416,9797416,15081461,15081461,15081466,15081461,15081461,15081456,15081461,-6048847,-6048847,-6048847,-6045934,-6048847,-6048847,-6051761,9797416,15081461,-6049347,0.979741573334,1.508146047592,-0.604934692383,
285,9796854,9797061,9796854,9796854,9796647,9796854,9796854,15094831,15094831,15094836,15094831,15094831,15094826,15094831,-6062097,-6062097,-6062097,-6059184,-6062097,-6062097,-6065011,9796854,15094831,-6062597,0.979685425758,1.509483098984,-0.606259703636,
286,9796292,9796499,9796292,9796292,9796085,9796292,9796292,15098558,15098558,15098563,15098558,15098558,15098553,15098558,-6075303,-6075303,-6075303,-6072389,-6075303,-6075303,-6078216,9796292,15098558,-6074803,0.979629218578,1.509855747223,-0.607480287552,
287,9795731,9795938,9795731,9795731,9795524,9795731,9795731,15081568,15081568,15081573,15081568,15081568,15081563,15081568,-6088442,-6088442,-6088442,-6085528,-6088442,-6088442,-6091356,9795731,15081568,-6088442,0.979573071003,1.508156776428,-0.608844220638,
288,9795169,9795376,9795169,9795169,9794962,9795169,9795169,15094861,15094861,15094865,15094861,15094861,15094856,15094861,-6101559,-6101559,-6101559,-6098645,-6101559,-6101559,-6104472,9795169,15094361,-6101059,0.979516923428,1.509436130524,-0.610105872154,
289,9794607,9794814,9794607,9794607,9794400,9794607,9794607,15080537,15080537,15080542,15080537,15080537,15080532,15080537,-6114609,-6114609,-6114609,-6111696,-6114609,-6114609,-6117523,9794607,15080537,-6115109,0.979460716248,1.508053660393,-0.611510872841,
290,9794046,9794253,9794046,9794046,9793839,9794046,9794046,15076543,15076543,15076548,15076543,15076543,15076539,15076543,-6127616,-6127616,-6127616,-6124703,-6127616,-6127616,-6130530,9794046,15077043,-6128116,0.979404628277,1.507704257965,-0.612811625004,
291,9793485,9793692,9793485,9793485,9793278,9793485,9793485,15075430,15075430,15075435,15075430,15075430,15075425,15075430,-6140580,-6140580,-6140580,-6137666,-6140580,-6140580,-6143493,9793485,15075430,-6140080,0.979348480701,1.507542967796,-0.614008009434,
292,9792924,9793131,9792924,9792924,9792717,9792924,9792924,15075120,15075120,15075124,15075120,15075120,15075115,15075120,-6153499,-6153499,-6153499,-6150586,-6153499,-6153499,-6156413,9792924,15074620,-6153999,0.979292392731,1.507462024689,-0.615399897099,
293,9792362,9792569,9792362,9792362,9792155,9792362,9792362,15075033,15075033,15075038,15075033,15075033,15075028,15075033,-6166375,-6166375,-6166375,-6163462,-6166375,-6166375,-6169289,9792362,15075033,-6166875,0.979236185551,1.507503271103,-0.616687476635,
294,9791801,9792008,9791801,9791801,9791594,9791801,9791801,15075009,15075009,15075014,15075009,15075009,15075004,15075009,-6179208,-6179208,-6179208,-6176295,-6179208,-6179208,-6182122,9791801,15075009,-6179708,0.979180097580,1.507500886917,-0.617970824242,
295,9791239,9791446,9791239,9791239,9791032,9791239,9791239,15075002,15075002,15075007,15075002,15075002,15074997,15075002,-6191997,-6191997,-6191997,-6189083,-6191997,-6191997,-6194911,9791239,15075002,-6191997,0.979123890400,1.507500171661,-0.619199693203,
296,9790678,9790885,9790678,9790678,9790471,9790678,9790678,15075000,15075000,15075005,15075000,15075000,15074995,15075000,-6204743,-6204743,-6204743,-6201829,-6204743,-6204743,-6207656,9790678,15075000,-6204243,0.979067802429,1.507500052452,-0.620424270630,
297,9790118,9790325,9790118,9790118,9789911,9790118,9790118,15038941,15038941,15038945,15038941,15038941,15038936,15038941,-6217403,-6217403,-6217403,-6214490,-6217403,-6217403,-6220317,9790118,15038441,-6217903,0.979011774063,1.503844141960,-0.621790289879,
298,9789555,9789762,9789555,9789555,9789348,9789555,9789555,15082975,15082975,15082980,15082975,15082975,15082970,15082975,-6230085,-6230084,-6230085,-6227171,-6230085,-6230085,-6232998,9789555,15082975,-6229085,0.978955507278,1.508297443390,-0.622908473015,
299,9788994,9789201,9788994,9788994,9788787,9788994,9788994,15077223,15077223,15077228,15077223,15077223,15077218,15077223,-6242702,-6242702,-6242702,-6239789,-6242702,-6242702,-6245616,9788994,15077223,-6243202,0.978899419308,1.507722258568,-0.624320209026,
300,9788432,9788639,9788432,9788432,9788225,9788432,9788432,15075620,15075620,15075624,15075620,15075620,15075615,15075620,-6255277,-6255277,-6255277,-6252364,-6255278,-6255277,-6258191,9788432,15075120,-6256277,0.978843212128,1.507511973381,-0.625627696514,
301,9787870,9788077,9787870,9787870,9787663,9787870,9787870,15075172,15075172,15075177,15075172,15075172,15075167,15075172,-6267810,-6267810,-6267810,-6264897,-6267811,-6267810,-6270724,9787870,15075172,-6268810,0.978787004948,1.507517218590,-0.626881003380,
302,9787308,9787515,9787308,9787308,9787101,9787308,9787308,15075048,15075048,15075053,15075048,15075048,15075043,15075048,-6280301,-6280301,-6280301,-6277388,-6280301,-6280301,-6283215,9787308,15075048,-6280801,0.978730797768,1.507504820824,-0.628080129623,
303,9786745,9786952,9786745,9786745,9786538,9786745,9786745,15111072,15111072,15111077,15111072,15111072,15111067,15111072,-6292792,-6292792,-6292792,-6289878,-6292792,-6292792,-6295705,9786745,15111072,-6292292,0.978674471378,1.511107206345,-0.629229187965,
304,9786183,9786390,9786183,9786183,9785976,9786183,9786183,15085057,15085057,15085062,15085057,15085057,15085052,15085057,-6305199,-6305199,-6305199,-6302285,-6305199,-6305199,-6308112,9786183,15085057,-6304699,0.978618323803,1.508505702019,-0.630469918251,
305,9785622,9785829,9785622,9785622,9785415,9785622,9785622,15077804,15077804,15077809,15077804,15077804,15077799,15077804,-6317564,-6317564,-6317564,-6314650,-6317564,-6317564,-6320478,9785622,15077804,-6317564,0.978562176228,1.507780432701,-0.631756424904,
306,9785060,9785267,9785060,9785060,9784853,9785060,9785060,15075781,15075781,15075786,15075781,15075781,15075776,15075781,-6329888,-6329888,-6329888,-6326974,-6329888,-6329888,-6332801,9785060,15075781,-6329388,0.978506028652,1.507578134537,-0.632938802242,
307,9784498,9784705,9784498,9784498,9784291,9784498,9784498,15075218,15075218,15075222,15075218,15075218,15075213,15075218,-6342170,-6342170,-6342170,-6339256,-6342170,-6342170,-6345083,9784498,15074718,-6341670,0.978449821472,1.507471799850,-0.634167015553,
308,9783938,9784145,9783938,9783938,9783731,9783938,9783938,15039001,15039001,15039006,15039001,15039001,15038996,15039001,-6354369,-6354369,-6354369,-6351455,-6354369,-6354369,-6357283,9783938,15039001,-6354369,0.978393793106,1.503900051117,-0.635436892509,
309,9783376,9783583,9783376,9783376,9783169,9783376,9783376,15064963,15064963,15064967,15064963,15064963,15064958,15064963,-6366568,-6366568,-6366568,-6363654,-6366568,-6366568,-6369481,9783376,15064463,-6366068,0.978337585926,1.506446242332,-0.636606812477,
310,9782813,9783020,9782813,9782813,9782606,9782813,9782813,15072201,15072201,15072206,15072201,15072201,15072196,15072201,-6378725,-6378725,-6378725,-6375812,-6378725,-6378725,-6381639,9782813,15072201,-6379225,0.978281319141,1.507220149040,-0.637922525406,
311,9782251,9782458,9782251,9782251,9782044,9782251,9782251,15074219,15074219,15074224,15074219,15074219,15074214,15074219,-6390842,-6390842,-6390842,-6387929,-6390842,-6390842,-6393756,9782251,15074219,-6391342,0.978225111961,1.507421851158,-0.639134228230,
312,9781689,9781896,9781689,9781689,9781482,9781689,9781689,15074782,15074782,15074787,15074782,15074782,15074777,15074782,-6402919,-6402919,-6402919,-6400005,-6402919,-6402919,-6405832,9781689,15074782,-6402419,0.978168904781,1.507478237152,-0.640241920948,
313,9781127,9781334,9781127,9781127,9780920,9781127,9781127,15074939,15074939,15074944,15074939,15074939,15074934,15074939,-6414954,-6414954,-6414954,-6412041,-6414954,-6414954,-6417868,9781127,15074939,-6415454,0.978112697601,1.507493853569,-0.641545414925,
314,9780565,9780772,9780565,9780565,9780358,9780565,9780565,15074983,15074983,15074987,15074983,15074983,15074978,15074983,-6426949,-6426949,-6426949,-6424036,-6426949,-6426949,-6429863,9780565,15074483,-6427449,0.978056490421,1.507448315620,-0.642744898796,
315,9780005,9780212,9780005,9780005,9779798,9780005,9780005,15020906,15020906,15020911,15020906,15020906,15020901,15020906,-6438845,-6438845,-6438845,-6435931,-6438845,-6438845,-6441758,9780005,15020906,-6438345,0.978000521660,1.502090573311,-0.643834471703,
316,9779443,9779650,9779443,9779443,9779236,9779443,9779443,15059917,15059917,15059922,15059917,15059917,15059912,15059917,-6450759,-6450759,-6450759,-6447846,-6450759,-6450759,-6453673,9779443,15059917,-6451259,0.977944314480,1.505991697311,-0.645125925541,
317,9778883,9779090,9778883,9778883,9778676,9778883,9778883,15034735,15034735,15034740,15034735,15034735,15034730,15034735,-6462595,-6462595,-6462595,-6459681,-6462595,-6462595,-6465508,9778883,15034735,-6462095,0.977888286114,1.503473520279,-0.646209478378,
318,9778321,9778528,9778321,9778321,9778114,9778321,9778321,15063773,15063773,15063778,15063773,15063773,15063768,15063773,-6474430,-6474430,-6474430,-6471516,-6474430,-6474430,-6477343,9778321,15063773,-6473930,0.977832078934,1.506377339363,-0.647392988205,
319,9777760,9777967,9777760,9777760,9777553,9777760,9777760,15035810,15035810,15035815,15035810,15035810,15035805,15035810,-6486186,-6486186,-6486186,-6483272,-6486186,-6486186,-6489099,9777760,15035810,-6485686,0.977775990963,1.503581047058,-0.648568570614,
320,9777198,9777405,9777198,9777198,9776991,9777198,9777198,15064073,15064073,15064078,15064073,15064073,15064068,15064073,-6497941,-6497941,-6497941,-6495028,-6497941,-6497941,-6500855,9777198,15064073,-6498441,0.977719783783,1.506407260895,-0.649844110012,
321,9776636,9776843,9776636,9776636,9776429,9776636,9776636,15071953,15071953,15071958,15071953,15071953,15071948,15071953,-6509658,-6509658,-6509658,-6506744,-6509658,-6509658,-6512571,9776636,15071953,-6509158,0.977663576603,1.507195353508,-0.650915801525,
322,9776073,9776280,9776073,9776073,9775866,9776073,9776073,15074150,15074150,15074155,15074150,15074150,15074145,15074150,-6521333,-6521333,-6521333,-6518420,-6521333,-6521333,-6524247,9776073,15074150,-6521833,0.977607309818,1.507415056229,-0.652183294296,
323,9775512,9775719,9775512,9775512,9775305,9775512,9775512,15038703,15038703,15038708,15038703,15038703,15038699,15038703,-6532931,-6532931,-6532931,-6530018,-6532931,-6532931,-6535845,9775512,15039203,-6533431,0.977551221848,1.503920316696,-0.653343081474,
324,9774950,9775157,9774950,9774950,9774743,9774950,9774950,15064880,15064880,15064884,15064880,15064880,15064875,15064880,-6544529,-6544529,-6544529,-6541615,-6544529,-6544529,-6547442,9774950,15064380,-6544029,0.977495014668,1.506438016891,-0.654402911663,
325,9774389,9774596,9774389,9774389,9774182,9774389,9774389,15036119,15036119,15036124,15036119,15036119,15036114,15036119,-6556049,-6556049,-6556049,-6553135,-6556049,-6556049,-6558963,9774389,15036119,-6556049,0.977438926697,1.503611922264,-0.655604898930,
326,9773828,9774035,9773828,9773828,9773621,9773828,9773828,15028100,15028100,15028105,15028100,15028100,15028095,15028100,-6567530,-6567530,-6567530,-6564617,-6567530,-6567530,-6570444,9773828,15028100,-6568030,0.977382779121,1.502810001373,-0.656803011894,
327,9773265,9773472,9773265,9773265,9773058,9773265,9773265,15061923,15061923,15061928,15061923,15061923,15061918,15061923,-6579011,-6579011,-6579011,-6576098,-6579011,-6579011,-6581925,9773265,15061923,-6579511,0.977326512337,1.506192326546,-0.657951116562,
328,9772703,9772910,9772703,9772703,9772496,9772703,9772703,15071354,15071354,15071358,15071354,15071354,15071349,15071354,-6590454,-6590454,-6590454,-6587540,-6590454,-6590454,-6593368,9772703,15070854,-6590454,0.977270305157,1.507085442543,-0.659045398235,
329,9772140,9772347,9772140,9772140,9771933,9772140,9772140,15073983,15073983,15073988,15073983,15073983,15073978,15073983,-6601858,-6601858,-6601858,-6598945,-6601858,-6601858,-6604772,9772140,15073983,-6602358,0.977213978767,1.507398247719,-0.660235822201,
330,9771580,9771787,9771580,9771580,9771373,9771580,9771580,15020627,15020627,15020632,15020627,15020627,15020622,15020627,-6613168,-6613168,-6613168,-6610254,-6613168,-6613168,-6616081,9771580,15020627,-6612668,0.977158010006,1.502062678337,-0.661266803741,
331,9771019,9771226,9771019,9771019,9770812,9771019,9771019,15023780,15023780,15023785,15023780,15023780,15023776,15023780,-6624458,-6624458,-6624458,-6621544,-6624458,-6624458,-6627371,9771019,15024280,-6623958,0.977101922035,1.502428054810,-0.662395775318,
332,9770457,9770664,9770457,9770457,9770250,9770457,9770457,15060719,15060719,15060724,15060719,15060719,15060714,15060719,-6635748,-6635747,-6635748,-6632834,-6635748,-6635748,-6638661,9770457,15060719,-6634748,0.977045714855,1.506071925163,-0.663474798203,
333,9769896,9770103,9769896,9769896,9769689,9769896,9769896,15034959,15034959,15034964,15034959,15034959,15034954,15034959,-6646962,-6646962,-6646962,-6644048,-6646962,-6646962,-6649876,9769896,15034959,-6646962,0.976989626884,1.503495931625,-0.664696216583,
334,9769333,9769540,9769333,9769333,9769126,9769333,9769333,15063835,15063835,15063840,15063835,15063835,15063831,15063835,-6658176,-6658176,-6658176,-6655263,-6658176,-6658176,-6661090,9769333,15064335,-6658676,0.976933300495,1.506433486938,-0.665867626667,
335,9768772,9768979,9768772,9768772,9768565,9768772,9768772,15035828,15035828,15035832,15035828,15035828,15035823,15035828,-6669316,-6669316,-6669316,-6666402,-6669316,-6669316,-6672230,9768772,15035328,-6669316,0.976877212524,1.503532767296,-0.666931629181,
336,9768210,9768417,9768210,9768210,9768003,9768210,9768210,15064078,15064078,15064083,15064078,15064078,15064073,15064078,-6680455,-6680455,-6680455,-6677541,-6680455,-6680455,-6683369,9768210,15064078,-6680455,0.976821005344,1.506407856941,-0.668045520782,
337,9767647,9767854,9767647,9767647,9767440,9767647,9767647,15071954,15071954,15071959,15071954,15071954,15071949,15071954,-6691556,-6691556,-6691556,-6688642,-6691556,-6691556,-6694469,9767647,15071954,-6691056,0.976764678955,1.507195353508,-0.669105589390,
338,9767084,9767291,9767084,9767084,9766877,9767084,9767084,15074150,15074150,15074155,15074150,15074150,15074146,15074150,-6702619,-6702619,-6702619,-6699705,-6702619,-6702619,-6705533,9767084,15074650,-6702619,0.976708412170,1.507465004921,-0.670261919498,
339,9766521,9766728,9766521,9766521,9766314,9766521,9766521,15074763,15074763,15074768,15074763,15074763,15074758,15074763,-6713645,-6713645,-6713645,-6710732,-6713645,-6713645,-6716559,9766521,15074763,-6714145,0.976652085781,1.507476329803,-0.671414494514,
340,9765958,9766165,9765958,9765958,9765751,9765958,9765958,15074934,15074934,15074938,15074934,15074934,15074929,15074934,-6724635,-6724634,-6724635,-6721721,-6724635,-6724635,-6727548,9765958,15074434,-6723635,0.976595818996,1.507443428040,-0.672363519669,
341,9765396,9765603,9765396,9765396,9765189,9765396,9765396,15038922,15038922,15038927,15038922,15038922,15038917,15038922,-6735550,-6735550,-6735550,-6732637,-6735550,-6735550,-6738464,9765396,15038922,-6736050,0.976539611816,1.503892183304,-0.673605024815,
342,9764835,9765042,9764835,9764835,9764628,9764835,9764835,15028881,15028881,15028886,15028881,15028881,15028876,15028881,-6746429,-6746429,-6746429,-6743516,-6746429,-6746429,-6749343,9764835,15028881,-6746929,0.976483523846,1.502888083458,-0.674692928791,
343,9764272,9764479,9764272,9764272,9764065,9764272,9764272,15062141,15062141,15062146,15062141,15062141,15062136,15062141,-6757308,-6757308,-6757308,-6754395,-6757308,-6757308,-6760222,9764272,15062141,-6757808,0.976427197456,1.506214141846,-0.675780773163,
344,9763709,9763916,9763709,9763709,9763502,9763709,9763709,15071414,15071414,15071419,15071414,15071414,15071409,15071414,-6768151,-6768151,-6768151,-6765237,-6768151,-6768151,-6771064,9763709,15071414,-6767651,0.976370871067,1.507141351700,-0.676765084267,
345,9763146,9763353,9763146,9763146,9762939,9763146,9763146,15074000,15074000,15074005,15074000,15074000,15073995,15074000,-6778957,-6778957,-6778957,-6776043,-6778957,-6778957,-6781870,9763146,15074000,-6778457,0.976314604282,1.507400035858,-0.677845716476,
346,9762583,9762790,9762583,9762583,9762376,9762583,9762583,15074721,15074721,15074726,15074721,15074721,15074716,15074721,-6789727,-6789727,-6789727,-6786813,-6789727,-6789727,-6792640,9762583,15074721,-6789227,0.976258277893,1.507472157478,-0.678922712803,
347,9762020,9762227,9762020,9762020,9761813,9762020,9762020,15074922,15074922,15074927,15074922,15074922,15074917,15074922,-6800460,-6800460,-6800460,-6797546,-6800460,-6800460,-6803374,9762020,15074922,-6800460,0.976202011108,1.507492184639,-0.680046021938,
348,9761457,9761664,9761457,9761457,9761250,9761457,9761457,15074978,15074978,15074983,15074978,15074978,15074973,15074978,-6811158,-6811158,-6811158,-6808244,-6811158,-6811158,-6814071,9761457,15074978,-6810658,0.976145684719,1.507497787476,-0.681065797806,
349,9760893,9761100,9760893,9760893,9760686,9760893,9760893,15093023,15093023,15093028,15093023,15093023,15093018,15093023,-6821837,-6821837,-6821837,-6818923,-6821837,-6821837,-6824751,9760893,15093023,-6821837,0.976089298725,1.509302258492,-0.682183682919,
350,9760330,9760537,9760330,9760330,9760123,9760330,9760330,15080025,15080025,15080030,15080025,15080025,15080020,15080025,-6832463,-6832463,-6832463,-6829549,-6832463,-6832463,-6835376,9760330,15080025,-6831963,0.976032972336,1.508002519608,-0.683196306229,
351,9759767,9759974,9759767,9759767,9759560,9759767,9759767,15076401,15076401,15076406,15076401,15076401,15076396,15076401,-6843053,-6843053,-6843053,-6840139,-6843053,-6843053,-6845966,9759767,15076401,-6842553,0.975976705551,1.507640123367,-0.684255301952,
352,9759203,9759410,9759203,9759203,9758996,9759203,9759203,15075390,15075390,15075395,15075390,15075390,15075385,15075390,-6853606,-6853606,-6853606,-6850692,-6853606,-6853606,-6856520,9759203,15075390,-6853606,0.975920319557,1.507539033890,-0.685360610485,
353,9758640,9758847,9758640,9758640,9758433,9758640,9758640,15075108,15075108,15075113,15075108,15075108,15075104,15075108,-6864124,-6864124,-6864124,-6861210,-6864124,-6864124,-6867037,9758640,15075608,-6863624,0.975863993168,1.507560849190,-0.686362385750,
354,9758077,9758284,9758077,9758077,9757870,9758077,9758077,15075030,15075030,15075035,15075030,15075030,15075025,15075030,-6874606,-6874606,-6874606,-6871692,-6874606,-6874606,-6877520,9758077,15075030,-6874606,0.975807726383,1.507503032684,-0.687460601330,
355,9757515,9757722,9757515,9757515,9757308,9757515,9757515,15038949,15038949,15038954,15038949,15038949,15038944,15038949,-6885019,-6885019,-6885019,-6882105,-6885019,-6885019,-6887932,9757515,15038949,-6884519,0.975751519203,1.503894925117,-0.688451886177,
356,9756952,9757159,9756952,9756952,9756745,9756952,9756952,15064948,15064948,15064953,15064948,15064948,15064943,15064948,-6895431,-6895431,-6895431,-6892517,-6895431,-6895431,-6898344,9756952,15064948,-6894931,0.975695192814,1.506494760513,-0.689493119717,
357,9756388,9756595,9756388,9756388,9756181,9756388,9756388,15072197,15072197,15072202,15072197,15072197,15072192,15072197,-6905808,-6905808,-6905808,-6902894,-6905808,-6905808,-6908722,9756388,15072197,-6905808,0.975638806820,1.507219672203,-0.690580785275,
358,9755825,9756032,9755825,9755825,9755618,9755825,9755825,15074218,15074218,15074223,15074218,15074218,15074213,15074218,-6916150,-6916150,-6916150,-6913237,-6916150,-6916150,-6919064,9755825,15074218,-6916650,0.975582480431,1.507421851158,-0.691664993763,
359,9755263,9755470,9755263,9755263,9755056,9755263,9755263,15038722,15038722,15038727,15038722,15038722,15038718,15038722,-6926424,-6926424,-6926424,-6923510,-6926424,-6926424,-6929337,9755263,15039222,-6925924,0.975526273251,1.503922224045,-0.692592382431,
360,9754700,9754907,9754700,9754700,9754493,9754700,9754700,15064885,15064885,15064890,15064885,15064885,15064880,15064885,-6936697,-6936697,-6936697,-6933783,-6936697,-6936697,-6939610,9754700,15064885,-6936197,0.975470006466,1.506488442421,-0.693619728088,
361,9754136,9754343,9754136,9754136,9753929,9754136,9754136,15072179,15072179,15072184,15072179,15072179,15072174,15072179,-6946935,-6946935,-6946935,-6944022,-6946935,-6946935,-6949849,9754136,15072179,-6947435,0.975413620472,1.507217884064,-0.694743514061,
362,9753573,9753780,9753573,9753573,9753366,9753573,9753573,15074213,15074213,15074218,15074213,15074213,15074208,15074213,-6957139,-6957139,-6957139,-6954226,-6957140,-6957139,-6960053,9753573,15074213,-6958139,0.975357294083,1.507421255112,-0.695813894272,
363,9753009,9753216,9753009,9753009,9752802,9753009,9753009,15074780,15074780,15074785,15074780,15074780,15074775,15074780,-6967309,-6967309,-6967309,-6964396,-6967309,-6967309,-6970223,9753009,15074780,-6967809,0.975300908089,1.507477998734,-0.696780920029,
364,9752446,9752653,9752446,9752446,9752239,9752446,9752446,15074938,15074938,15074943,15074938,15074938,15074933,15074938,-6977445,-6977445,-6977445,-6974532,-6977445,-6977445,-6980359,9752446,15074938,-6977945,0.975244581699,1.507493853569,-0.697794497013,
365,9751882,9752089,9751882,9751882,9751675,9751882,9751882,15074982,15074982,15074987,15074982,15074982,15074978,15074982,-6987547,-6987547,-6987547,-6984633,-6987547,-6987547,-6990461,9751882,15075482,-6987547,0.975188195705,1.507548213005,-0.698754727840,
366,9751319,9751526,9751319,9751319,9751112,9751319,9751319,15074995,15074995,15075000,15074995,15074995,15074990,15074995,-6997614,-6997614,-6997614,-6994700,-6997614,-6997614,-7000527,9751319,15074995,-6997114,0.975131928921,1.507499456406,-0.699711382389,
367,9750757,9750964,9750757,9750757,9750550,9750757,9750757,15038939,15038939,15038944,15038939,15038939,15038934,15038939,-7007614,-7007614,-7007614,-7004700,-7007614,-7007614,-7010528,9750757,15038939,-7007614,0.975075721741,1.503893852234,-0.700761377811,
368,9750192,9750399,9750192,9750192,9749985,9750192,9750192,15082975,15082975,15082980,15082975,15082975,15082970,15082975,-7017630,-7017630,-7017630,-7014716,-7017630,-7017630,-7020544,9750192,15082975,-7017630,0.975019216537,1.508297443390,-0.701762974262,
369,9749628,9749835,9749628,9749628,9749421,9749628,9749628,15077223,15077223,15077228,15077223,15077223,15077218,15077223,-7027595,-7027595,-7027595,-7024682,-7027595,-7027595,-7030509,9749628,15077223,-7028095,0.974962770939,1.507722258568,-0.702809512615,
370,9749064,9749271,9749064,9749064,9748857,9749064,9749064,15075619,15075619,15075624,15075619,15075619,15075615,15075619,-7037527,-7037527,-7037527,-7034613,-7037527,-7037527,-7040440,9749064,15076119,-7037027,0.974906384945,1.507611870766,-0.703702688217,
371,9748500,9748707,9748500,9748500,9748293,9748500,9748500,15075172,15075172,15075177,15075172,15075172,15075167,15075172,-7047425,-7047425,-7047425,-7044511,-7047425,-7047425,-7050338,9748500,15075172,-7046925,0.974849998951,1.507517218590,-0.704692482948,
372,9747936,9748143,9747936,9747936,9747729,9747936,9747936,15075048,15075048,15075053,15075048,15075048,15075043,15075048,-7057289,-7057289,-7057289,-7054376,-7057289,-7057289,-7060203,9747936,15075048,-7057789,0.974793612957,1.507504820824,-0.705778896809,
373,9747372,9747579,9747372,9747372,9747165,9747372,9747372,15075013,15075013,15075018,15075013,15075013,15075008,15075013,-7067121,-7067121,-7067121,-7064207,-7067121,-7067121,-7070034,9747372,15075013,-7066621,0.974737226963,1.507501244545,-0.706662118435,
374,9746808,9747015,9746808,9746808,9746601,9746808,9746808,15075003,15075003,15075008,15075003,15075003,15074998,15075003,-7076919,-7076919,-7076919,-7074005,-7076919,-7076919,-7079833,9746808,15075003,-7076919,0.974680781364,1.507500290871,-0.707691907883,
375,9746244,9746451,9746244,9746244,9746037,9746244,9746244,15075001,15075001,15075005,15075001,15075001,15074996,15075001,-7086685,-7086685,-7086685,-7083771,-7086685,-7086685,-7089598,9746244,15074501,-7086185,0.974624395370,1.507450103760,-0.708618521690,
376,9745679,9745886,9745679,9745679,9745472,9745679,9745679,15075000,15075000,15075005,15075000,15075000,15074995,15075000,-7096417,-7096417,-7096417,-7093504,-7096417,-7096417,-7099331,9745679,15075000,-7096917,0.974567890167,1.507500052452,-0.709691703320,
377,9745117,9745324,9745117,9745117,9744910,9745117,9745117,15038940,15038940,15038945,15038940,15038940,15038936,15038940,-7106085,-7106085,-7106085,-7103171,-7106085,-7106085,-7108999,9745117,15039440,-7106085,0.974511682987,1.503944039345,-0.710608482361,
378,9744553,9744760,9744553,9744553,9744346,9744553,9744553,15064946,15064946,15064951,15064946,15064946,15064941,15064946,-7115752,-7115752,-7115752,-7112839,-7115752,-7115752,-7118666,9744553,15064946,-7116252,0.974455296993,1.506494641304,-0.711625218391,
379,9743991,9744198,9743991,9743991,9743784,9743991,9743991,15018108,15018108,15018112,15018108,15018108,15018103,15018108,-7125339,-7125339,-7125339,-7122425,-7125339,-7125339,-7128253,9743991,15017608,-7125339,0.974399089813,1.501760840416,-0.712533891201,
380,9743429,9743636,9743429,9743429,9743222,9743429,9743429,15023078,15023078,15023083,15023078,15023078,15023073,15023078,-7134910,-7134910,-7134910,-7131996,-7134910,-7134910,-7137823,9743429,15023078,-7134410,0.974342882633,1.502307772636,-0.713441014290,
381,9742867,9743074,9742867,9742867,9742660,9742867,9742867,15006434,15006434,15006439,15006434,15006434,15006429,15006434,-7144432,-7144432,-7144432,-7141519,-7144432,-7144432,-7147346,9742867,15006434,-7144932,0.974286675453,1.500643372536,-0.714493215084,
382,9742306,9742513,9742306,9742306,9742099,9742306,9742306,15001794,15001794,15001798,15001794,15001794,15001789,15001794,-7153922,-7153922,-7153922,-7151008,-7153922,-7153922,-7156836,9742306,15001294,-7153922,0.974230587482,1.500129342079,-0.715392172337,
383,9741744,9741951,9741744,9741744,9741537,9741744,9741744,15000500,15000500,15000505,15000500,15000500,15000495,15000500,-7163380,-7163380,-7163380,-7160466,-7163380,-7163380,-7166293,9741744,15000500,-7162880,0.974174380302,1.500049948692,-0.716287970543,
384,9741181,9741388,9741181,9741181,9740974,9741181,9741181,15018169,15018169,15018173,15018169,15018169,15018164,15018169,-7172822,-7172822,-7172822,-7169908,-7172822,-7172822,-7175735,9741181,15017669,-7172322,0.974118113518,1.501766920090,-0.717232227325,
385,9740619,9740826,9740619,9740619,9740412,9740619,9740619,15005065,15005065,15005070,15005065,15005065,15005060,15005065,-7182216,-7182216,-7182216,-7179303,-7182216,-7182216,-7185130,9740619,15005065,-7182716,0.974061906338,1.500506520271,-0.718271613121,
386,9740057,9740264,9740057,9740057,9739850,9740057,9740057,15001412,15001412,15001417,15001412,15001412,15001407,15001412,-7191580,-7191580,-7191580,-7188666,-7191580,-7191580,-7194493,9740057,15001412,-7191080,0.974005699158,1.500141143799,-0.719107985497,
