9949999.1,9950172.3,9949999.1,9949999.1,9949825.89,9949999.1,9949999.1,18029.6,18029.6,18034.43,18029.6,18029.6,18024.77,18029.6,0,0,0,2449.48,0,0,-2449.48
9949997.54,9950195.02,9949997.54,9949997.54,9949800.06,9949997.54,9949997.54,23056.54,23056.54,23061.42,23056.54,23056.54,23051.65,23056.54,-53.9,-53.9,-53.9,2738.96,-53.9,-53.9,-2846.7
9949995.87,9950200.07,9949995.87,9949995.87,9949791.67,9949995.87,9949995.87,24458.13,24458.13,24463.02,24458.13,24458.13,24453.25,24458.13,-107,-107,-107,2780.47,-107,-107,-2995.29
9949994.17,9950200.35,9949994.17,9949994.17,9949788,9949994.17,9949994.17,24848.92,24848.92,24853.8,24848.92,24848.92,24844.03,24848.92,-161,-161,-161,2754.94,-161,-161,-3076.65
9949992.47,9950199.23,9949992.47,9949992.47,9949785.71,9949992.47,9949992.47,24957.88,24957.88,24962.76,24957.88,24957.88,24952.99,24957.88,-214,-214,-214,2709.84,-214,-214,-3138.38
9949990.76,9950197.69,9949990.76,9949990.76,9949783.82,9949990.76,9949990.76,24988.26,24988.26,24993.14,24988.26,24988.26,24983.37,24988.26,-268,-268,-268,2658.93,-268,-268,-3194.28
9949989.04,9950196.03,9949989.04,9949989.04,9949782.05,9949989.04,9949989.04,24996.73,24996.73,25001.61,24996.73,24996.73,24991.84,24996.73,-321,-321,-321,2606.27,-321,-321,-3248.44
9949987.33,9950194.34,9949987.33,9949987.33,9949780.33,9949987.33,9949987.33,24999.09,24999.09,25003.97,24999.09,24999.09,24994.2,24999.09,-374,-374,-374,2553.09,-375,-374,-3302.06
9949985.62,9950192.63,9949985.62,9949985.62,9949778.61,9949985.62,9949985.62,24999.75,24999.75,25004.63,24999.75,24999.75,24994.86,24999.75,-428,-428,-428,2499.75,-428,-428,-3355.53
9949983.91,9950190.92,9949983.91,9949983.91,9949776.9,9949983.91,9949983.91,24999.93,24999.93,25004.82,24999.93,24999.93,24995.04,24999.93,-481,-481,-481,2446.37,-481,-481,-3408.96
9949982.2,9950189.21,9949982.2,9949982.2,9949775.18,9949982.2,9949982.2,24999.98,24999.98,25004.87,24999.98,24999.98,24995.09,24999.98,-535,-535,-535,2392.97,-535,-535,-3462.37
