test_circle,input 1,input 1,,input 2,input 2,,input 3,input 3,,input 4,input 4,,input 5,input 5,,input 6,input 6,,input 7,input 7,,input 8,input 8,,input 9,input 9,,input 10,input 10,,input 11,input 11,,input 12,input 12,,input 13,input 13,,input 14,input 14,,input 15,input 15,,input 16,input 16,,input 17,input 17,,input 18,input 18,,input 19,input 19,,input 20,input 20,,input 21,input 21,,summation 1,summation 1,, summation 2, summation 2,, summation 3, summation 3,
,PC,BMS,diff,,,diff,,,diff,,,diff,,,diff,,,diff,,,diff,,,diff,,,diff,,,diff,,,diff,,,diff,,,diff,,,diff,,,diff,,,diff,,,diff,,,diff,,,diff,,,diff,,,diff,,,diff,,,diff,,,diff
14,9948798,9948798,0,9949005,9949005,0,9948798,9948798,0,9948798,9948798,0,9948591,9948591,0,9948798,9948798,0,9948798,9948798,0,14814295,14814295,0,14814295,14814295,0,14814300,14814300,0,14814295,14814295,0,14814295,14814295,0,14814290,14814290,0,14814295,14814295,0,-72102,-72102,0,-72102,-72102,0,-72102,-72102,0,-69188,-69188,0,-72102,-72102,0,-72102,-72102,0,-75016,-75016,0,9948798,9948798,0,14814295,14814295,0,-72102,-72102,0
15,9948226,9948226,0,9948433,9948433,0,9948226,9948226,0,9948226,9948226,0,9948019,9948019,0,9948226,9948226,0,9948226,9948226,0,15669406,15669406,0,15669406,15669406,0,15669411,15669411,0,15669406,15669406,0,15669406,15669406,0,15669401,15669401,0,15669406,15669406,0,-107519,-107519,0,-107519,-107519,0,-107519,-107519,0,-104606,-104606,0,-107519,-107519,0,-107519,-107519,0,-110433,-110433,0,9948226,9948226,0,15669406,15669406,0,-108019,-108019,0
16,9947654,9947654,0,9947861,9947861,0,9947654,9947654,0,9947654,9947654,0,9947447,9947447,0,9947654,9947654,0,9947654,9947654,0,15907825,15907825,0,15907825,15907825,0,15907830,15907830,0,15907825,15907825,0,15907825,15907825,0,15907820,15907820,0,15907825,15907825,0,-142812,-142812,0,-142812,-142812,0,-142812,-142812,0,-139899,-139899,0,-142812,-142812,0,-142812,-142812,0,-145725,-145725,0,9947654,9947654,0,15907825,15907825,0,-142812,-142812,0
17,9947086,9947086,0,9947293,9947293,0,9947086,9947086,0,9947086,9947086,0,9946879,9946879,0,9947086,9947086,0,9947086,9947086,0,15920211,15920211,0,15920211,15920211,0,15920216,15920216,0,15920211,15920211,0,15920211,15920211,0,15920206,15920206,0,15920211,15920211,0,-177816,-177816,0,-177816,-177816,0,-177816,-177816,0,-174903,-174903,0,-177816,-177816,0,-177816,-177816,0,-180729,-180729,0,9947086,9947086,0,15920211,15920211,0,-177816,-177816,0
18,9946517,9946517,0,9946724,9946724,0,9946517,9946517,0,9946517,9946517,0,9946310,9946310,0,9946517,9946517,0,9946517,9946517,0,15923664,15923664,0,15923664,15923664,0,15923669,15923669,0,15923664,15923664,0,15923664,15923664,0,15923659,15923659,0,15923664,15923664,0,-212694,-212694,0,-212694,-212694,0,-212694,-212694,0,-209781,-209781,0,-212694,-212694,0,-212694,-212694,0,-215607,-215607,0,9946517,9946517,0,15923664,15923664,0,-212694,-212694,0
19,9945948,9945948,0,9946155,9946155,0,9945948,9945948,0,9945948,9945948,0,9945741,9945741,0,9945948,9945948,0,9945948,9945948,0,15906598,15906598,0,15906598,15906598,0,15906603,15906603,0,15906598,15906598,0,15906598,15906598,0,15906593,15906593,0,15906598,15906598,0,-247393,-247393,0,-247393,-247393,0,-247393,-247393,0,-244480,-244480,0,-247393,-247393,0,-247393,-247393,0,-250306,-250306,0,9945948,9945948,0,15906598,15906598,0,-247393,-247393,0
20,9945381,9945381,0,9945588,9945588,0,9945381,9945381,0,9945381,9945381,0,9945174,9945174,0,9945381,9945381,0,9945381,9945381,0,15865780,15865780,0,15865780,15865780,0,15865785,15865785,0,15865780,15865780,0,15865780,15865780,0,15865775,15865775,0,15865780,15865780,0,-281860,-281860,0,-281860,-281860,0,-281860,-281860,0,-278947,-278947,0,-281860,-281860,0,-281860,-281860,0,-284773,-284773,0,9945381,9945381,0,15865780,15865780,0,-281860,-281860,0
21,9944815,9944815,0,9945022,9945022,0,9944815,9944815,0,9944815,9944815,0,9944608,9944608,0,9944815,9944815,0,9944815,9944815,0,15836370,15836370,0,15836370,15836370,0,15836375,15836375,0,15836370,15836370,0,15836370,15836370,0,15836365,15836365,0,15836370,15836370,0,-316150,-316150,0,-316150,-316150,0,-316150,-316150,0,-313237,-313237,0,-316150,-316150,0,-316150,-316150,0,-319063,-319063,0,9944815,9944815,0,15836370,15836370,0,-316150,-316150,0
22,9944248,9944248,0,9944455,9944455,0,9944248,9944248,0,9944248,9944248,0,9944041,9944041,0,9944248,9944248,0,9944248,9944248,0,15846199,15846199,0,15846199,15846199,0,15846204,15846204,0,15846199,15846199,0,15846199,15846199,0,15846194,15846194,0,15846199,15846199,0,-350373,-350373,0,-350373,-350373,0,-350373,-350373,0,-347460,-347460,0,-350373,-350373,0,-350373,-350373,0,-353286,-353286,0,9944248,9944248,0,15846199,15846199,0,-350373,-350373,0
23,9943681,9943681,0,9943888,9943888,0,9943681,9943681,0,9943681,9943681,0,9943474,9943474,0,9943681,9943681,0,9943681,9943681,0,15830910,15830910,0,15830910,15830910,0,15830915,15830915,0,15830910,15830910,0,15830910,15830910,0,15830905,15830905,0,15830910,15830910,0,-384420,-384420,0,-384420,-384420,0,-384420,-384420,0,-381507,-381507,0,-384420,-384420,0,-384420,-384420,0,-387333,-387333,0,9943681,9943681,0,15830910,15830910,0,-384420,-384420,0
