test_circle,C 1,C 2,C 3,sigma_points 1,sigma_points 2,sigma_points 3,sigma_points 4,sigma_points 5,sigma_points 6,sigma_points 7,sigma_points 8,sigma_points 9,sigma_points 10,sigma_points 11,sigma_points 12,sigma_points 13,sigma_points 14,sigma_points 15,sigma_points 16,sigma_points 17,sigma_points 18,sigma_points 19,sigma_points 20,sigma_points 21,D 1,D 2,observer 1,observer 2,normalized sigma_measurement 1,normalized sigma_measurement 2,normalized sigma_measurement 3,normalized sigma_measurement 4,normalized sigma_measurement 5,normalized sigma_measurement 6,normalized sigma_measurement 7,
364,4242664,-30300,-61999,969737,969758,969737,969737,969717,969737,969737,1507494,1507494,1507504,1507494,1507495,1507485,1507494,-769564,-769564,-769564,-769272,-769564,-769565,-769857,-82000,-2499,1507500,1000000,3990189,3990278,3990189,3990171,3990104,3990190,3990207,
365,4242465,-30300,-61999,969794,969815,969794,969794,969774,969794,969794,1507383,1507383,1507384,1507383,1507382,1507382,1507383,-770399,-770399,-770390,-770106,-770398,-770407,-770691,-82000,-2499,1507500,1000000,3990293,3990382,3990292,3990274,3990208,3990293,3990311,
366,4242518,-30300,-61999,969779,969800,969779,969779,969759,969779,969779,1507432,1507433,1507434,1507432,1507432,1507431,1507432,-771418,-771418,-771417,-771126,-771418,-771419,-771710,-82000,-2499,1507500,1000000,3990343,3990431,3990343,3990324,3990258,3990343,3990361,
367,4242518,-30300,-61999,969779,969800,969779,969779,969759,969779,969779,1507432,1507433,1507434,1507432,1507432,1507431,1507432,-771418,-771418,-771417,-771126,-771418,-771419,-771710,-82000,-2499,1507500,1000000,3990343,3990431,3990343,3990324,3990258,3990343,3990361,
368,4243367,-30300,-61999,969535,969555,969535,969535,969515,969535,969535,1507417,1507417,1507419,1507417,1507417,1507416,1507417,-772450,-772451,-772452,-772158,-772450,-772449,-772743,-82000,-2499,1502500,1000000,3990605,3990690,3990605,3990586,3990520,3990605,3990623,
369,4243800,-30300,-61999,969411,969431,969411,969411,969390,969411,969411,1505061,1505061,1505064,1505061,1505061,1505057,1505061,-773454,-773455,-773454,-773162,-773454,-773455,-773747,-82000,-2499,1509999,1000000,3990017,3990102,3990017,3989999,3989928,3990017,3990036,
370,4244016,-30300,-61999,969349,969369,969349,969349,969328,969349,969349,1507369,1507369,1507371,1507369,1507369,1507367,1507369,-774279,-774279,-774280,-773987,-774279,-774278,-774572,-82000,-2499,1507500,1000000,3990150,3990234,3990150,3990132,3990060,3990150,3990168,
371,4243971,-30300,-61999,969362,969382,969362,969362,969341,969362,969362,1507094,1507094,1507102,1507094,1507093,1507086,1507094,-775152,-775152,-775151,-774860,-775152,-775153,-775444,-82000,-2499,1507500,1000000,3990223,3990308,3990223,3990205,3990134,3990223,3990242,
372,4244615,-30300,-61999,969177,969197,969177,969177,969156,969177,969177,1507224,1507224,1507226,1507224,1507224,1507222,1507224,-776047,-776047,-776045,-775755,-776047,-776049,-776339,-82000,-2499,1507500,1000000,3990114,3990199,3990114,3990096,3990025,3990115,3990132,
373,4245067,-30300,-61999,969047,969067,969047,969047,969026,969047,969047,1507359,1507359,1507361,1507359,1507359,1507358,1507359,-777040,-777040,-777040,-776748,-777040,-777041,-777332,-82000,-2499,1507500,1000000,3990058,3990143,3990058,3990040,3989969,3990058,3990076,
374,4245917,-30300,-61999,968803,968823,968803,968803,968782,968803,968803,1507950,1507953,1507963,1507950,1507948,1507937,1507950,-778082,-778083,-778078,-777790,-778081,-778086,-778374,-82000,-2499,1507500,1000000,3989892,3989977,3989891,3989873,3989803,3989892,3989910,
375,4246343,-30300,-61999,968681,968701,968681,968681,968660,968681,968681,1507793,1507793,1507797,1507793,1507792,1507789,1507793,-778965,-778965,-778963,-778673,-778965,-778967,-779257,-82000,-2499,1507500,1000000,3989846,3989931,3989846,3989828,3989757,3989846,3989864,
376,4246768,-30300,-61999,968559,968579,968559,968559,968538,968559,968559,1507896,1507896,1507902,1507896,1507895,1507890,1507896,-779799,-779799,-779802,-779506,-779799,-779796,-780091,-82000,-2499,1507500,1000000,3989789,3989873,3989789,3989770,3989699,3989789,3989807,
377,4247620,-30300,-61999,968314,968335,968314,968314,968294,968314,968314,1507779,1507779,1507781,1507779,1507778,1507777,1507779,-780822,-780822,-780821,-780529,-780821,-780822,-781114,-82000,-2499,1507500,1000000,3989640,3989729,3989640,3989622,3989555,3989640,3989658,
378,4247835,-30300,-61999,968253,968273,968253,968253,968232,968253,968253,1507621,1507621,1507623,1507621,1507621,1507620,1507621,-781691,-781691,-781690,-781399,-781691,-781693,-781984,-82000,-2499,1502500,1000000,3990058,3990143,3990058,3990040,3989969,3990058,3990076,
379,4248452,-30300,-61999,968076,968096,968076,968076,968056,968076,968076,1505390,1505390,1505393,1505390,1505389,1505386,1505390,-782534,-782534,-782536,-782242,-782535,-782533,-782827,-82000,-2499,1507500,1000000,3989613,3989698,3989613,3989595,3989528,3989613,3989631,
380,4248179,-30300,-61999,968154,968174,968154,968154,968134,968154,968154,1506455,1506455,1506456,1506455,1506455,1506453,1506455,-783502,-783502,-783501,-783210,-783502,-783503,-783794,-82000,-2499,1500000,1000000,3990323,3990408,3990323,3990305,3990237,3990323,3990341,
381,4249126,-30300,-61999,967883,967903,967883,967883,967863,967883,967883,1503763,1503765,1503772,1503763,1503760,1503753,1503763,-784412,-784412,-784411,-784120,-784412,-784413,-784704,-82000,-2499,1502500,1000000,3990020,3990106,3990020,3990002,3989936,3990021,3990039,
382,4249048,-30300,-61999,967905,967926,967905,967905,967885,967905,967905,1503403,1503402,1503407,1503403,1503403,1503398,1503403,-785177,-785178,-785182,-784885,-785177,-785173,-785469,-82000,-2499,1500000,1000000,3990303,3990392,3990303,3990285,3990218,3990303,3990321,
383,4248606,-30300,-61999,968032,968052,968032,968032,968012,968032,968032,1501876,1501875,1501878,1501876,1501876,1501874,1501876,-786275,-786274,-786273,-785983,-786277,-786277,-786568,-82000,-2499,1500000,1000000,3990529,3990613,3990528,3990511,3990444,3990529,3990547,
384,4249529,-30300,-61999,967767,967787,967767,967767,967747,967767,967767,1501549,1501553,1501564,1501549,1501546,1501534,1501549,-787162,-787161,-787161,-786869,-787162,-787162,-787454,-82000,-2499,1500000,1000000,3990360,3990446,3990360,3990342,3990276,3990361,3990379,
385,4249959,-30300,-61999,967644,967665,967644,967644,967624,967644,967644,1501155,1501156,1501163,1501155,1501154,1501148,1501155,-788106,-788106,-788103,-787813,-788106,-788108,-788398,-82000,-2499,1502500,1000000,3990120,3990209,3990119,3990101,3990035,3990120,3990138,
386,4250130,-30300,-61999,967595,967616,967595,967595,967575,967595,967595,1502244,1502244,1502257,1502244,1502245,1502232,1502244,-788982,-788982,-788982,-788690,-788982,-788982,-789274,-82000,-2499,1500000,1000000,3990303,3990392,3990303,3990286,3990218,3990304,3990321,
387,4250965,-30300,-61999,967356,967377,967356,967356,967336,967356,967356,1500815,1500813,1500824,1500815,1500817,1500807,1500815,-789911,-789912,-789914,-789619,-789911,-789909,-790204,-82000,-2499,1500000,1000000,3990196,3990286,3990196,3990178,3990111,3990196,3990215,
388,4251396,-30300,-61999,967233,967254,967233,967233,967213,967233,967233,1500406,1500406,1500409,1500406,1500406,1500402,1500406,-790918,-790919,-790919,-790626,-790918,-790917,-791211,-82000,-2499,1497499,1000000,3990370,3990459,3990370,3990352,3990285,3990370,3990388,
389,4251886,-30300,-61999,967093,967113,967093,967093,967072,967093,967093,1498954,1498954,1498956,1498954,1498954,1498952,1498954,-791844,-791845,-791848,-791552,-791844,-791841,-792137,-82000,-2499,1497499,1000000,3990350,3990435,3990350,3990332,3990261,3990350,3990368,
390,4252717,-30300,-61999,966855,966876,966855,966855,966835,966855,966855,1498569,1498571,1498576,1498569,1498568,1498563,1498569,-792712,-792712,-792713,-792419,-792712,-792710,-793004,-82000,-2499,1502500,1000000,3989796,3989886,3989797,3989778,3989711,3989797,3989814,
391,4252667,-30300,-61999,966870,966890,966870,966870,966849,966870,966870,1500519,1500519,1500521,1500519,1500519,1500517,1500519,-793664,-793663,-793661,-793371,-793664,-793667,-793956,-82000,-2499,1497499,1000000,3990222,3990307,3990222,3990204,3990133,3990223,3990240,
392,4252744,-30300,-61999,966848,966868,966848,966848,966827,966848,966848,1498955,1498956,1498961,1498955,1498955,1498950,1498955,-794469,-794469,-794467,-794176,-794469,-794471,-794761,-82000,-2499,1497499,1000000,3990301,3990386,3990300,3990283,3990211,3990301,3990319,
393,4253531,-30300,-61999,966623,966643,966623,966623,966602,966623,966623,1498073,1498072,1498077,1498073,1498074,1498068,1498073,-795286,-795286,-795284,-794994,-795287,-795288,-795578,-82000,-2499,1497499,1000000,3990182,3990267,3990182,3990164,3990092,3990182,3990200,
394,4253798,-30300,-61999,966546,966567,966546,966546,966526,966546,966546,1497976,1497976,1497980,1497976,1497976,1497973,1497976,-796472,-796472,-796460,-796180,-796472,-796484,-796764,-82000,-2499,1500000,1000000,3989984,3990073,3989983,3989966,3989898,3989985,3990002,
395,4254649,-30300,-61999,966304,966324,966304,966304,966283,966304,966304,1499094,1499096,1499099,1499094,1499093,1499090,1499094,-797361,-797361,-797357,-797069,-797360,-797364,-797653,-82000,-2499,1497499,1000000,3990003,3990088,3990003,3989985,3989914,3990003,3990021,
396,4255034,-30300,-61999,966193,966214,966193,966193,966173,966193,966193,1498638,1498638,1498646,1498638,1498637,1498630,1498638,-797986,-797986,-797993,-797694,-797986,-797980,-798278,-82000,-2499,1497499,1000000,3989955,3990044,3989955,3989937,3989870,3989955,3989973,
397,4255536,-30300,-61999,966050,966071,966050,966050,966030,966050,966050,1497864,1497864,1497871,1497864,1497865,1497857,1497864,-798723,-798723,-798722,-798431,-798723,-798725,-799015,-82000,-2499,1502500,1000000,3989491,3989580,3989491,3989473,3989406,3989491,3989509,
398,4255927,-30300,-61999,965939,965959,965939,965939,965918,965939,965939,1500070,1500070,1500074,1500070,1500070,1500066,1500070,-799739,-799739,-799740,-799447,-799739,-799738,-800031,-82000,-2499,1497499,1000000,3989802,3989887,3989802,3989784,3989713,3989802,3989820,
399,4256164,-30300,-61999,965871,965892,965871,965871,965850,965871,965871,1499232,1499232,1499243,1499232,1499232,1499221,1499232,-800542,-800542,-800543,-800249,-800542,-800540,-800834,-82000,-2499,1495000,1000000,3990022,3990112,3990022,3990003,3989933,3990022,3990040,
400,4256530,-30300,-61999,965767,965787,965767,965767,965746,965767,965767,1497377,1497377,1497380,1497377,1497377,1497374,1497377,-801526,-801526,-801525,-801234,-801526,-801528,-801818,-82000,-2499,1495000,1000000,3990050,3990135,3990050,3990032,3989960,3990050,3990068,
401,4256951,-30300,-61999,965646,965667,965646,965646,965626,965646,965646,1496300,1496300,1496301,1496300,1496300,1496299,1496300,-802333,-802333,-802334,-802041,-802333,-802331,-802625,-82000,-2499,1500000,1000000,3989614,3989703,3989614,3989596,3989529,3989614,3989632,
402,4257450,-30300,-61999,965504,965525,965504,965504,965484,965504,965504,1497900,1497899,1497902,1497900,1497900,1497897,1497900,-803312,-803312,-803317,-803020,-803311,-803306,-803604,-82000,-2499,1495000,1000000,3989914,3990003,3989914,3989896,3989829,3989914,3989932,
403,4257366,-30300,-61999,965528,965549,965528,965528,965508,965528,965528,1496951,1496950,1496961,1496951,1496952,1496941,1496951,-804190,-804190,-804189,-803898,-804190,-804191,-804482,-82000,-2499,1492499,1000000,3990223,3990313,3990223,3990205,3990138,3990224,3990241,
404,4256769,-30300,-61999,965698,965718,965698,965698,965679,965698,965698,1495076,1495075,1495079,1495076,1495078,1495073,1495076,-805031,-805031,-805029,-804739,-805031,-805033,-805323,-82000,-2499,1497499,1000000,3990069,3990154,3990069,3990051,3989988,3990070,3990087,
405,4257178,-30300,-61999,965582,965602,965582,965582,965561,965582,965582,1496219,1496218,1496221,1496219,1496219,1496217,1496219,-805908,-805908,-805907,-805616,-805908,-805909,-806200,-82000,-2499,1497499,1000000,3989990,3990075,3989990,3989972,3989900,3989990,3990008,
406,4257197,-30300,-61999,965576,965597,965576,965576,965556,965576,965576,1496648,1496649,1496654,1496648,1496648,1496643,1496648,-806597,-806597,-806593,-806305,-806596,-806600,-806889,-82000,-2499,1497499,1000000,3990012,3990102,3990012,3989994,3989928,3990013,3990031,
407,4257395,-30300,-61999,965520,965541,965520,965520,965499,965520,965520,1496986,1496986,1496987,1496986,1496986,1496985,1496986,-807215,-807215,-807205,-806923,-807215,-807225,-807507,-82000,-2499,1497499,1000000,3989993,3990082,3989993,3989975,3989904,3989994,3990011,
408,4257167,-30300,-61999,965585,965605,965585,965585,965565,965585,965585,1497369,1497368,1497374,1497369,1497370,1497364,1497369,-808130,-808130,-808127,-807838,-808130,-808133,-808422,-82000,-2499,1497499,1000000,3990095,3990180,3990094,3990077,3990010,3990095,3990113,
409,4258078,-30300,-61999,965326,965346,965326,965326,965306,965326,965326,1497455,1497455,1497457,1497455,1497455,1497453,1497455,-808729,-808728,-808732,-808437,-808731,-808727,-809022,-82000,-2499,1495000,1000000,3990112,3990196,3990112,3990093,3990026,3990112,3990130,
410,4259221,-30300,-61999,965019,965039,965019,965019,964999,965019,965019,1496282,1496282,1496283,1496282,1496283,1496281,1496282,-809670,-809670,-809679,-809378,-809669,-809661,-809962,-82000,-2499,1497499,1000000,3989796,3989881,3989797,3989778,3989711,3989795,3989814,
411,4259990,-30300,-61999,964916,964937,964916,964916,964896,964916,964916,1497094,1497094,1497099,1497094,1497094,1497088,1497094,-810411,-810412,-810412,-810119,-810411,-810411,-810704,-82000,-2499,1497499,1000000,3990121,3990210,3990121,3990103,3990036,3990121,3990139,
412,4261165,-30300,-61999,964592,964612,964592,964592,964572,964592,964592,1497587,1497589,1497593,1497587,1497585,1497580,1497587,-811098,-811097,-811100,-810806,-811098,-811096,-811390,-82000,-2499,1495000,1000000,3990107,3990192,3990106,3990089,3990021,3990107,3990125,
413,4261344,-30300,-61999,964543,964563,964543,964543,964522,964543,964543,1496591,1496591,1496595,1496591,1496590,1496586,1496591,-812066,-812066,-812061,-811774,-812066,-812071,-812358,-82000,-2499,1495000,1000000,3990161,3990246,3990160,3990143,3990071,3990161,3990179,
414,4262076,-30300,-61999,964341,964361,964341,964341,964320,964341,964341,1495946,1495946,1495950,1495946,1495947,1495943,1495946,-812701,-812701,-812700,-812409,-812702,-812703,-812993,-82000,-2499,1495000,1000000,3990064,3990150,3990064,3990046,3989975,3990065,3990082,
415,4262917,-30300,-61999,964109,964129,964109,964109,964089,964109,964109,1495226,1495225,1495234,1495226,1495228,1495219,1495226,-813322,-813321,-813318,-813030,-813323,-813327,-813614,-82000,-2499,1497499,1000000,3989742,3989827,3989742,3989724,3989657,3989742,3989760,
416,4262898,-30300,-61999,964114,964135,964114,964114,964094,964114,964114,1496468,1496467,1496469,1496468,1496469,1496467,1496468,-814186,-814185,-814162,-813895,-814186,-814210,-814477,-82000,-2499,1497499,1000000,3989761,3989850,3989759,3989743,3989676,3989763,3989779,
417,4263348,-30300,-61999,963990,964011,963990,963990,963970,963990,963990,1496991,1496991,1496993,1496991,1496991,1496989,1496991,-814712,-814711,-814713,-814420,-814713,-814711,-815004,-82000,-2499,1495000,1000000,3989888,3989978,3989888,3989870,3989803,3989888,3989906,
418,4263381,-30300,-61999,963981,964002,963981,963981,963961,963981,963981,1496354,1496353,1496362,1496354,1496354,1496346,1496354,-815509,-815508,-815508,-815216,-815509,-815510,-815801,-82000,-2499,1495000,1000000,3989950,3990040,3989949,3989931,3989865,3989950,3989968,
419,4263319,-30300,-61999,963999,964019,963999,963999,963978,963999,963999,1495527,1495527,1495528,1495527,1495527,1495526,1495527,-816305,-816305,-816303,-816013,-816305,-816307,-816597,-82000,-2499,1497499,1000000,3989836,3989922,3989836,3989818,3989747,3989836,3989855,
420,4264283,-30300,-61999,963733,963753,963733,963733,963713,963733,963733,1496726,1496728,1496735,1496726,1496723,1496716,1496726,-816873,-816872,-816879,-816581,-816875,-816868,-817165,-82000,-2499,1497499,1000000,3989630,3989715,3989631,3989612,3989546,3989630,3989649,
421,4264235,-30300,-61999,963746,963767,963746,963746,963726,963746,963746,1496853,1496854,1496859,1496853,1496852,1496847,1496853,-817619,-817619,-817621,-817327,-817619,-817618,-817911,-82000,-2499,1492499,1000000,3990092,3990181,3990092,3990074,3990007,3990092,3990110,
422,4264273,-30300,-61999,963736,963756,963736,963736,963715,963736,963736,1494367,1494368,1494381,1494367,1494366,1494354,1494367,-818197,-818198,-818193,-817905,-818197,-818202,-818490,-82000,-2499,1495000,1000000,3989992,3990077,3989991,3989974,3989903,3989993,3990010,
423,4264697,-30300,-61999,963619,963640,963619,963619,963598,963619,963619,1495056,1495056,1495067,1495056,1495055,1495045,1495056,-819083,-819084,-819078,-818791,-819083,-819089,-819376,-82000,-2499,1497499,1000000,3989731,3989820,3989731,3989713,3989641,3989732,3989749,
424,4264477,-30300,-61999,963680,963700,963680,963680,963659,963680,963680,1496230,1496229,1496232,1496230,1496230,1496227,1496230,-819620,-819621,-819623,-819328,-819619,-819617,-819912,-82000,-2499,1497499,1000000,3989776,3989862,3989776,3989758,3989687,3989776,3989794,
425,4264013,-30300,-61999,963807,963827,963807,963807,963787,963807,963807,1496639,1496640,1496643,1496639,1496638,1496635,1496639,-820501,-820500,-820506,-820209,-820502,-820496,-820793,-82000,-2499,1492499,1000000,3990323,3990409,3990323,3990305,3990238,3990323,3990341,
426,4263827,-30300,-61999,963859,963879,963859,963859,963838,963859,963859,1494711,1494711,1494714,1494711,1494711,1494709,1494711,-821146,-821146,-821148,-820853,-821145,-821143,-821438,-82000,-2499,1495000,1000000,3990259,3990344,3990259,3990241,3990169,3990259,3990277,
427,4263842,-30300,-61999,963855,963875,963855,963855,963834,963855,963855,1494539,1494539,1494547,1494539,1494538,1494531,1494539,-821971,-821971,-821972,-821678,-821971,-821970,-822263,-82000,-2499,1495000,1000000,3990313,3990398,3990313,3990295,3990224,3990313,3990331,
428,4263332,-30300,-61999,963995,964015,963995,963995,963975,963995,963995,1494556,1494557,1494560,1494556,1494555,1494552,1494556,-822668,-822668,-822667,-822376,-822668,-822669,-822960,-82000,-2499,1490000,1000000,3990870,3990955,3990870,3990852,3990785,3990871,3990888,
429,4263797,-30300,-61999,963867,963887,963867,963867,963846,963867,963867,1492293,1492293,1492296,1492293,1492293,1492290,1492293,-823186,-823186,-823178,-822894,-823186,-823194,-823478,-82000,-2499,1492499,1000000,3990669,3990754,3990669,3990651,3990579,3990669,3990687,
430,4263757,-30300,-61999,963878,963898,963878,963878,963857,963878,963878,1492336,1492336,1492337,1492336,1492336,1492334,1492336,-824029,-824029,-824029,-823737,-824030,-824030,-824322,-82000,-2499,1492499,1000000,3990728,3990813,3990728,3990710,3990638,3990729,3990746,
431,4264023,-30300,-61999,963804,963825,963804,963804,963784,963804,963804,1491997,1491997,1492009,1491997,1491997,1491986,1491997,-824693,-824693,-824691,-824401,-824693,-824695,-824985,-82000,-2499,1497499,1000000,3990310,3990400,3990309,3990292,3990225,3990311,3990329,
432,4264692,-30300,-61999,963620,963641,963620,963620,963600,963620,963620,1494198,1494197,1494209,1494198,1494200,1494188,1494198,-825705,-825706,-825713,-825413,-825704,-825697,-825997,-82000,-2499,1497499,1000000,3990166,3990256,3990166,3990148,3990081,3990166,3990185,
433,4264429,-30300,-61999,963693,963713,963693,963693,963673,963693,963693,1495358,1495360,1495368,1495358,1495357,1495349,1495358,-826706,-826704,-826715,-826414,-826707,-826696,-826998,-82000,-2499,1497499,1000000,3990251,3990337,3990252,3990233,3990166,3990251,3990269,
434,4264925,-30300,-61999,963556,963577,963556,963556,963536,963556,963556,1496287,1496287,1496291,1496287,1496286,1496283,1496287,-827323,-827322,-827327,-827031,-827323,-827319,-827615,-82000,-2499,1495000,1000000,3990360,3990450,3990360,3990342,3990275,3990360,3990379,
435,4265519,-30300,-61999,963393,963414,963393,963393,963372,963393,963393,1495529,1495528,1495534,1495529,1495529,1495524,1495529,-827834,-827833,-827829,-827542,-827835,-827840,-828126,-82000,-2499,1495000,1000000,3990292,3990382,3990291,3990274,3990203,3990293,3990310,
436,4266049,-30300,-61999,963247,963268,963247,963247,963226,963247,963247,1495545,1495546,1495551,1495545,1495545,1495539,1495545,-828651,-828651,-828648,-828359,-828651,-828654,-828943,-82000,-2499,1495000,1000000,3990230,3990319,3990229,3990212,3990141,3990230,3990248,
437,4266451,-30300,-61999,963136,963157,963136,963136,963116,963136,963136,1495072,1495072,1495078,1495072,1495072,1495066,1495072,-829414,-829414,-829415,-829122,-829414,-829414,-829707,-82000,-2499,1497499,1000000,3990000,3990090,3990000,3989982,3989915,3990000,3990019,
438,4266451,-30300,-61999,963136,963157,963136,963136,963116,963136,963136,1495072,1495072,1495078,1495072,1495072,1495066,1495072,-829414,-829414,-829415,-829122,-829414,-829414,-829707,-82000,-2499,1497499,1000000,3990000,3990090,3990000,3989982,3989915,3990000,3990019,
439,4266945,-30300,-61999,963001,963021,963001,963001,962980,963001,963001,1496307,1496307,1496308,1496307,1496307,1496306,1496307,-830259,-830259,-830250,-829967,-830259,-830268,-830551,-82000,-2499,1495000,1000000,3990120,3990205,3990119,3990102,3990030,3990121,3990138,
440,4267124,-30300,-61999,962951,962972,962951,962951,962931,962951,962951,1495705,1495705,1495707,1495705,1495705,1495703,1495705,-830739,-830740,-830741,-830447,-830739,-830738,-831032,-82000,-2499,1497499,1000000,3989922,3990011,3989922,3989904,3989836,3989922,3989940,
441,4267751,-30300,-61999,962779,962800,962779,962779,962759,962779,962779,1496427,1496427,1496429,1496427,1496427,1496425,1496427,-831422,-831422,-831421,-831130,-831422,-831424,-831714,-82000,-2499,1497499,1000000,3989812,3989902,3989812,3989794,3989727,3989813,3989830,
442,4268674,-30300,-61999,962526,962546,962526,962526,962505,962526,962526,1496952,1496952,1496952,1496952,1496951,1496951,1496952,-832173,-832173,-832168,-831881,-832173,-832178,-832465,-82000,-2499,1495000,1000000,3989856,3989942,3989856,3989838,3989766,3989857,3989875,
443,4269152,-30300,-61999,962394,962415,962394,962394,962374,962394,962394,1495873,1495873,1495878,1495873,1495873,1495868,1495873,-833043,-833043,-833047,-832750,-833042,-833038,-833335,-82000,-2499,1497499,1000000,3989635,3989724,3989635,3989617,3989549,3989635,3989653,
444,4269751,-30300,-61999,962230,962251,962230,962230,962209,962230,962230,1496747,1496747,1496749,1496747,1496746,1496744,1496747,-833716,-833716,-833718,-833423,-833716,-833714,-834008,-82000,-2499,1497499,1000000,3989526,3989616,3989526,3989508,3989436,3989526,3989545,
445,4270453,-30300,-61999,962037,962058,962037,962037,962017,962037,962037,1497266,1497267,1497268,1497266,1497266,1497265,1497266,-834643,-834644,-834630,-834351,-834642,-834657,-834935,-82000,-2499,1495000,1000000,3989624,3989714,3989624,3989606,3989538,3989625,3989642,
446,4270706,-30300,-61999,961968,961989,961968,961968,961947,961968,961968,1496404,1496404,1496406,1496404,1496404,1496402,1496404,-835324,-835324,-835323,-835032,-835324,-835325,-835616,-82000,-2499,1497499,1000000,3989436,3989526,3989436,3989418,3989347,3989436,3989454,
447,4270672,-30300,-61999,961977,961998,961977,961977,961957,961977,961977,1497224,1497223,1497231,1497224,1497225,1497216,1497224,-835901,-835901,-835904,-835609,-835901,-835898,-836193,-82000,-2499,1497499,1000000,3989453,3989543,3989453,3989435,3989367,3989453,3989471,
448,4270634,-30300,-61999,961988,962008,961988,961988,961967,961988,961988,1497051,1497051,1497058,1497051,1497050,1497043,1497051,-836637,-836637,-836639,-836345,-836637,-836635,-836929,-82000,-2499,1495000,1000000,3989720,3989805,3989719,3989701,3989630,3989719,3989738,
449,4270431,-30300,-61999,962044,962064,962044,962044,962023,962044,962044,1495842,1495844,1495849,1495842,1495841,1495836,1495842,-837409,-837409,-837412,-837117,-837409,-837406,-837701,-82000,-2499,1497499,1000000,3989643,3989728,3989642,3989625,3989553,3989643,3989661,
450,4270643,-30300,-61999,961985,962006,961985,961985,961964,961985,961985,1496761,1496761,1496763,1496761,1496761,1496759,1496761,-838024,-838024,-838027,-837731,-838024,-838020,-838316,-82000,-2499,1497499,1000000,3989605,3989694,3989605,3989587,3989516,3989604,3989623,
451,4271090,-30300,-61999,961863,961883,961863,961863,961842,961863,961863,1496992,1496991,1496994,1496992,1496992,1496989,1496992,-838737,-838737,-838738,-838445,-838737,-838735,-839029,-82000,-2499,1495000,1000000,3989756,3989842,3989756,3989738,3989667,3989756,3989774,
452,4270862,-30300,-61999,961925,961946,961925,961925,961905,961925,961925,1496348,1496346,1496356,1496348,1496349,1496339,1496348,-839322,-839322,-839324,-839029,-839321,-839319,-839614,-82000,-2499,1495000,1000000,3989857,3989948,3989857,3989839,3989772,3989857,3989876,
453,4270702,-30300,-61999,961969,961990,961969,961969,961949,961969,961969,1495746,1495745,1495749,1495746,1495746,1495743,1495746,-839963,-839963,-839964,-839671,-839963,-839962,-840255,-82000,-2499,1497499,1000000,3989744,3989834,3989744,3989726,3989659,3989744,3989763,
454,4270947,-30300,-61999,961902,961923,961902,961902,961881,961902,961902,1496654,1496654,1496656,1496654,1496654,1496651,1496654,-840524,-840524,-840529,-840232,-840524,-840520,-840817,-82000,-2499,1492499,1000000,3990111,3990201,3990112,3990093,3990021,3990111,3990129,
455,4271799,-30300,-61999,961668,961688,961668,961668,961648,961668,961668,1494618,1494618,1494620,1494618,1494619,1494617,1494618,-841319,-841320,-841324,-841026,-841318,-841313,-841611,-82000,-2499,1495000,1000000,3989837,3989922,3989837,3989819,3989751,3989837,3989855,
456,4272253,-30300,-61999,961544,961564,961544,961544,961523,961544,961544,1494834,1494834,1494836,1494834,1494835,1494832,1494834,-841826,-841826,-841828,-841534,-841826,-841824,-842118,-82000,-2499,1490000,1000000,3990179,3990264,3990179,3990160,3990089,3990179,3990197,
457,4272047,-30300,-61999,961600,961621,961600,961600,961580,961600,961600,1492691,1492690,1492693,1492691,1492691,1492688,1492691,-842408,-842408,-842410,-842116,-842408,-842407,-842700,-82000,-2499,1495000,1000000,3989911,3990000,3989911,3989893,3989825,3989911,3989929,
458,4272497,-30300,-61999,961477,961498,961477,961477,961456,961477,961477,1493986,1493986,1493991,1493986,1493985,1493980,1493986,-842842,-842842,-842849,-842550,-842843,-842835,-843134,-82000,-2499,1497499,1000000,3989601,3989691,3989601,3989583,3989512,3989601,3989619,
459,4273341,-30300,-61999,961246,961266,961246,961246,961225,961246,961246,1495573,1495573,1495575,1495573,1495574,1495572,1495573,-843746,-843747,-843754,-843454,-843745,-843737,-844038,-82000,-2499,1497499,1000000,3989434,3989519,3989434,3989415,3989343,3989433,3989452,
460,4273571,-30300,-61999,961183,961203,961183,961183,961162,961183,961183,1496422,1496422,1496423,1496422,1496422,1496421,1496422,-844119,-844119,-844098,-843827,-844118,-844139,-844410,-82000,-2499,1497499,1000000,3989382,3989467,3989381,3989364,3989292,3989383,3989400,
461,4274044,-30300,-61999,961053,961074,961053,961053,961032,961053,961053,1496860,1496859,1496861,1496860,1496860,1496858,1496860,-844768,-844768,-844766,-844476,-844768,-844770,-845061,-82000,-2499,1495000,1000000,3989514,3989603,3989514,3989495,3989423,3989514,3989532,
462,4274941,-30300,-61999,960808,960828,960808,960808,960787,960808,960808,1496102,1496102,1496104,1496102,1496101,1496100,1496102,-845644,-845646,-845635,-845352,-845643,-845654,-845936,-82000,-2499,1495000,1000000,3989405,3989491,3989405,3989387,3989316,3989406,3989423,
463,4275992,-30300,-61999,960520,960540,960520,960520,960500,960520,960520,1495687,1495687,1495688,1495687,1495687,1495686,1495687,-846378,-846379,-846371,-846086,-846377,-846385,-846670,-82000,-2499,1497499,1000000,3989037,3989122,3989036,3989019,3988951,3989037,3989055,
